[00:00:00 - 00:00:02] 想想是為什麼
[00:00:02 - 00:00:04] 這個可能對於你們來講
[00:00:04 - 00:00:07] 有一點沒必要去想這個事
[00:00:07 - 00:00:10] 但是事實上是它是存物理文件是最好的
[00:00:10 - 00:00:12] 它的原因是什麼
[00:00:12 - 00:00:14] 因為可以講一下
[00:00:14 - 00:00:16] 因為在這個環節中
[00:00:16 - 00:00:21] 你存這個的物理文件是一個癱瘡
[00:00:21 - 00:00:23] 是一個臨時文件
[00:00:23 - 00:00:25] 亂完這個整個環節
[00:00:25 - 00:00:27] 這個文件就可以被清理掉了 對不對
[00:00:27 - 00:00:30] 如果你要去存數據庫
[00:00:30 - 00:00:33] 你存一條臨時的這個表
[00:00:33 - 00:00:35] 那它的性能的開銷
[00:00:35 - 00:00:37] 包括它既然所引的開銷
[00:00:37 - 00:00:39] 其實是要用物理文件
[00:00:39 - 00:00:41] iO要大的
[00:00:41 - 00:00:42] 明白了嗎
[00:00:42 - 00:00:44] 這個東西我要是給你們全說透的話
[00:00:44 - 00:00:46] 其實是技術層面的一個事
[00:00:46 - 00:00:47] 對吧
[00:00:47 - 00:00:49] 你存物理文件在貪卜文件上
[00:00:49 - 00:00:51] 它的性能開銷是最小的
[00:00:51 - 00:00:54] 所以我在這因為扣子工作流
[00:00:54 - 00:00:56] 存NB文件太難存了
[00:00:56 - 00:01:00] 所以我就拿這個多維表格去存它
