[01:15:00 - 01:15:02] 就在这起到什么样的作用
[01:15:02 - 01:15:03] AI咱们现在所去看到的
[01:15:03 - 01:15:05] 就是图片实别
[01:15:05 - 01:15:08] 然后再加了一点点的大步行的基础能力
[01:15:08 - 01:15:09] 这个东西说实在话
[01:15:09 - 01:15:12] 你们用VibroCoding去做
[01:15:12 - 01:15:16] 也不会超过三天就能做出来一样的东西
[01:15:17 - 01:15:19] 但是它的主要的特点是什么
[01:15:19 - 01:15:21] 有没有已经存在的产品
[01:15:22 - 01:15:25] 就是忘了关自动付费的这么一个事
[01:15:25 - 01:15:26] 对吧
[01:15:26 - 01:15:27] 直拉存不留存
[01:15:27 - 01:15:28] 坚决不留存
[01:15:28 - 01:15:29] 留存还费了token
[01:15:30 - 01:15:31] 它已经存在什么样的产品
[01:15:32 - 01:15:35] 是不是在这市面上有特别多的
[01:15:35 - 01:15:37] 热量记录类的软件
[01:15:37 - 01:15:39] 你们肯定都用过
[01:15:39 - 01:15:39] 对不对
[01:15:39 - 01:15:41] 肯定都用过一些
[01:15:41 - 01:15:43] 今天我要记我吃了这个
[01:15:43 - 01:15:44] 明天我记我吃的那个
[01:15:44 - 01:15:45] 对不对
[01:15:45 - 01:15:46] 对吧
[01:15:46 - 01:15:47] 都有这类的产品
[01:15:48 - 01:15:49] 但是
[01:15:50 - 01:15:51] 但是
[01:15:51 - 01:15:51] 对吧
[01:15:52 - 01:15:53] 但是
[01:15:54 - 01:15:56] 为什么你用不下来
[01:15:56 - 01:15:57] 或者说绝大多数
[01:15:57 - 01:15:57] 反正我是用不下来
[01:15:57 - 01:15:58] 原因是什么
[01:15:58 - 01:16:00] 这个
