[01:35:00 - 01:35:02] 这个是为什么
[01:35:02 - 01:35:05] 为什么传统教育只能在乎学科
[01:35:05 - 01:35:09] 素养类的文史者不能出来
[01:35:10 - 01:35:12] 想象是为什么
[01:35:13 - 01:35:15] 不只是因为考试 同学们
[01:35:15 - 01:35:17] 你们要想做教育的话
[01:35:17 - 01:35:20] 一定要把这个思考做深刻一点
[01:35:20 - 01:35:22] 思考做深刻一点
[01:35:22 - 01:35:24] 我非常负责人告诉大家一个原因
[01:35:24 - 01:35:28] 是在于
[01:35:28 - 01:35:31] 教师的水平
[01:35:31 - 01:35:33] 教师的普遍水平
[01:35:33 - 01:35:36] 决定了我们的教学过程
[01:35:36 - 01:35:38] 能够用什么样的方式去铲除
[01:35:39 - 01:35:42] 而师范学校的水平
[01:35:42 - 01:35:44] 决定了我们能铲除什么样的教师
[01:35:44 - 01:35:47] 而我们铲除的教师
[01:35:47 - 01:35:50] 至少从中卫县的角度上来讲
[01:35:50 - 01:35:52] 是我们必须拉齐的一条线
[01:35:52 - 01:35:55] 否则那大城市和
[01:35:55 - 01:35:57] 非大城市
[01:35:57 - 01:35:59] 老师有质的差别
[01:35:59 - 01:36:01] 教学大纲可以自定
