[02:21:00 - 02:21:01] 大点被人打出去
[02:21:03 - 02:21:08] 真的 你们能在这个赛道上看到最伟大的灵魂和最拙劣的表演
[02:21:08 - 02:21:11] 真的很可怕的
[02:21:11 - 02:21:14] 我真心是被人哄出去了
[02:21:14 - 02:21:16] 我真心被人哄出去了
[02:21:19 - 02:21:22] 这就是教育作为商业的
[02:21:22 - 02:21:24] 就是我干了什么被打出去
[02:21:24 - 02:21:26] 他们在那喊号的时候
[02:21:26 - 02:21:27] 我就在那一直在那
[02:21:27 - 02:21:29] 在那拍照
[02:21:29 - 02:21:32] 在那摄影
[02:21:32 - 02:21:35] 然后我的气质跟那个的场景不是很搭
[02:21:35 - 02:21:40] 然后就有他的工作人员问我到底是来干嘛的
[02:21:40 - 02:21:42] 我说我看项目来加盟
[02:21:45 - 02:21:47] 他就开始看我手机里面的东西
[02:21:48 - 02:21:52] 然后发现我跟我拍的东西
[02:21:52 - 02:21:54] 一看就是来私访
[02:21:54 - 02:21:58] 他说你是报社的还是自媒体的
[02:21:59 - 02:22:00] 我说
