[00:00:00 - 00:00:02] 这个是为什么
[00:00:02 - 00:00:05] 为什么传统教育只能在乎学科
[00:00:05 - 00:00:09] 素养类的文史者不能出来
[00:00:10 - 00:00:12] 想象是为什么
[00:00:13 - 00:00:15] 不只是因为考试 同学们
[00:00:15 - 00:00:17] 你们要想做教育的话
[00:00:17 - 00:00:20] 一定要把这个思考做深刻一点
[00:00:20 - 00:00:22] 思考做深刻一点
[00:00:22 - 00:00:24] 我非常负责人告诉大家一个原因
[00:00:24 - 00:00:28] 是在于
[00:00:28 - 00:00:31] 教师的水平
[00:00:31 - 00:00:33] 教师的普遍水平
[00:00:33 - 00:00:36] 决定了我们的教学过程
[00:00:36 - 00:00:38] 能够用什么样的方式去铲除
[00:00:39 - 00:00:42] 而师范学校的水平
[00:00:42 - 00:00:44] 决定了我们能铲除什么样的教师
[00:00:44 - 00:00:47] 而我们铲除的教师
[00:00:47 - 00:00:50] 至少从中卫县的角度上来讲
[00:00:50 - 00:00:52] 是我们必须拉齐的一条线
[00:00:52 - 00:00:55] 否则那大城市和
[00:00:55 - 00:00:57] 非大城市
[00:00:57 - 00:00:59] 老师有质的差别
[00:00:59 - 00:01:01] 教学大纲可以自定
