[00:00:00 - 00:00:03] 这个产品是我真的特别喜欢的一个这么一个品啊
[00:00:03 - 00:00:05] 它叫做历史人物对话
[00:00:05 - 00:00:08] 通过和历史人物对话来去学历史
[00:00:08 - 00:00:10] 我觉得这个产品真的是做得好
[00:00:10 - 00:00:12] 然后它比如说我就做了一个实验
[00:00:12 - 00:00:14] 我说跟干地去学印度历史
[00:00:14 - 00:00:16] 我选择这个干地
[00:00:16 - 00:00:18] 我选择干地
[00:00:18 - 00:00:20] 对吧 我加一个新的版本
[00:00:20 - 00:00:22] 这个就是我的目标是什么
[00:00:22 - 00:00:26] 我的目标是就是我这个grade很低
[00:00:26 - 00:00:27] 第一集
[00:00:27 - 00:00:29] 然后呢我希望这个Learned History of India
[00:00:29 - 00:00:31] 我想跟你学学印度的历史
[00:00:33 - 00:00:33] 对吧
[00:00:34 - 00:00:35] 那好
[00:00:35 - 00:00:36] Hello
[00:00:36 - 00:00:38] 然后就是你想跟我学学什么
[00:00:38 - 00:00:40] 我可以跟你去学什么
[00:00:40 - 00:00:42] 你想同学们
[00:00:42 - 00:00:47] 你们你们你们你们你们你们想一想
[00:00:47 - 00:00:51] 我如果能够跟跟着教员学习一下
[00:00:51 - 00:00:53] 思度赤水是怎么打的
[00:00:53 - 00:00:56] 学习一下两万五千里长征是怎么过来的
[00:00:56 - 00:00:59] 学习一下大跃进时期
