[00:00:00 - 00:00:02] 这是基于工业化时代
[00:00:02 - 00:00:05] 基于工业不同的分支维度
[00:00:05 - 00:00:08] 来去反向推演我们需要什么样的人
[00:00:10 - 00:00:14] 这是基于工业时代的公种化分
[00:00:14 - 00:00:17] 而化分出来的一个教育的体系
[00:00:20 - 00:00:21] 教育的体系
[00:00:22 - 00:00:28] 但是如果真正意义上做全人教育是什么
[00:00:28 - 00:00:31] 它有点类似于私熟
[00:00:32 - 00:00:36] 就是你难道不应该让一个孩子学历史吗
[00:00:36 - 00:00:37] 学哲学吗
[00:00:37 - 00:00:39] 学艺术吗
[00:00:39 - 00:00:40] 感受美吗
[00:00:40 - 00:00:46] 然后让他能够去理解这个世界真正意义上的底层的东西
[00:00:46 - 00:00:48] 而不是只是那样一些技能
[00:00:48 - 00:00:49] 因为反正技能也没有任何意义
[00:00:50 - 00:00:51] 技能反正也没有意义
[00:00:52 - 00:00:52] 对吧
[00:00:52 - 00:00:57] 你为什么要给孩子培养是面向工业时代和后工业时代的
[00:00:57 - 00:00:58] 学科呢
