[00:00:00 - 00:00:01] 看你的艺术了
[00:00:05 - 00:00:07] 他特别适合两个人做
[00:00:07 - 00:00:10] 一个人是混子哥
[00:00:10 - 00:00:12] 一个人是马博用
[00:00:13 - 00:00:14] 是马博用
[00:00:17 - 00:00:18] 真的
[00:00:21 - 00:00:25] 你发现这个产品真的太有趣了
[00:00:25 - 00:00:27] 所以你发现在AI时代
[00:00:27 - 00:00:28] 我给你看到了
[00:00:28 - 00:00:30] 就是在这边其实是最稳妥的产品
[00:00:30 - 00:00:32] 如多灵国该怎么去做
[00:00:32 - 00:00:35] 最卑劣的产品AI自己社会怎么做
[00:00:35 - 00:00:38] 最有意思的产品中小儿美的也可以去做
[00:00:38 - 00:00:39] 非常有创新性的产品也可以做
[00:00:39 - 00:00:41] 这边有太多的机会可以去玩
[00:00:41 - 00:00:42] 对吧
[00:00:42 - 00:00:43] 整体总结一下
[00:00:43 - 00:00:45] 今天给你们拖得比较晚
[00:00:47 - 00:00:49] 错题的工作本的这个
[00:00:49 - 00:00:51] 工作流的整体的搭建
[00:00:51 - 00:00:52] 希望你们去搭爱的
[00:00:52 - 00:00:54] 看看这一本的情况
[00:00:54 - 00:00:56] 核心的启发是这个
[00:00:56 - 00:00:57] 对于多摩泰的理解
[00:00:57 - 00:00:58] 图片的理解
[00:00:58 - 00:00:59] 云云的理解
[00:00:59 - 00:01:00] 视频的拆分
