[00:00:00 - 00:00:04] Code在哪去存MD文件啊 沒有啊
[00:00:04 - 00:00:05] 沒有啊
[00:00:05 - 00:00:08] 就是Code不支持存文件這個操作
[00:00:08 - 00:00:12] 或者叫Code的低代碼平台
[00:00:12 - 00:00:14] 就是Code工作流不支持我存文件
[00:00:14 - 00:00:17] Code的Wipe Coding支持我存文件
[00:00:17 - 00:00:20] 在這我沒地去存卷
[00:00:21 - 00:00:22] 懂了吧
[00:00:23 - 00:00:25] 就是我沒判法
[00:00:25 - 00:00:31] 所以在這個狀況下我客觀一點講我又是一個有結構的東西
[00:00:31 - 00:00:35] 大家注意啊為什麼我要去存個多維表格
[00:00:35 - 00:00:37] 我不是直接去存一個飛書輿論的
[00:00:37 - 00:00:41] 不是為了裝插而是由於在這裡面它本身
[00:00:41 - 00:00:44] 就是有多個不同的列
[00:00:44 - 00:00:47] 它有Studio的Name有錯題學科有學科有錯題類型Type
[00:00:47 - 00:00:49] 有錯題支點有支點解析
[00:00:49 - 00:00:51] 它本身是有結構的
[00:00:51 - 00:00:54] 有結構的東西我把它存在一個飛書的
[00:00:54 - 00:00:56] 雲文檔裡我後面還得再做一次
