[00:00:00 - 00:00:02] 龟玉
[00:00:03 - 00:00:04] 小燕你好
[00:00:04 - 00:00:05] 9999你好
[00:00:05 - 00:00:08] 热身師明小李你好
[00:00:17 - 00:00:19] 然后肉肉球阿古
[00:00:19 - 00:00:21] 道陵所飞在路上
[00:00:21 - 00:00:24] 恨水中脑子王999
[00:00:24 - 00:00:25] 你们好啊
[00:00:26 - 00:00:29] 那一铝阳光你好
[00:00:33 - 00:00:35] 咱们讲讲教育类的这个产品
[00:00:35 - 00:00:37] 教育类的产品的话
[00:00:37 - 00:00:39] 说实话机会特别多
[00:00:42 - 00:00:43] 咱们认真的说
[00:00:43 - 00:00:44] 就是教育类的
[00:00:44 - 00:00:47] 智能体能够有的市场机会
[00:00:47 - 00:00:48] 手上是非常多的
[00:00:48 - 00:00:50] 大家知道是为什么了
[00:00:50 - 00:00:53] 或者我们可以讲一下就是
[00:00:53 - 00:00:55] 现在这个市场行情中什么样的
