[02:09:00 - 02:09:03] 外国人聊天的时候那种先天压力
[02:09:03 - 02:09:06] 这个是多灵国团队来去聊的
[02:09:06 - 02:09:07] 为什么我知道这件事呢
[02:09:07 - 02:09:11] 因为我有一个同事去了多灵国
[02:09:11 - 02:09:12] 负责他们的Marty挺身
[02:09:12 - 02:09:14] 然后去聊到的东西
[02:09:14 - 02:09:14] 对吧
[02:09:14 - 02:09:15] 然后还做什么呢
[02:09:15 - 02:09:18] 还做个这个在多灵国Minds增加了
[02:09:18 - 02:09:20] 聊好了也不会笑
[02:09:20 - 02:09:21] 聊好了也不
[02:09:21 - 02:09:23] 他就不给你好脸子
[02:09:23 - 02:09:24] 他不给你好脸子
[02:09:24 - 02:09:26] 同时他还有一个逻辑
[02:09:26 - 02:09:28] 他还有一个逻辑
[02:09:28 - 02:09:32] 就是他认为这张臭脸带来的变时度会更高
[02:09:35 - 02:09:37] 这张臭脸带来的变时度会更高
[02:09:37 - 02:09:40] 然后同时也模拟了他的这个
[02:09:40 - 02:09:43] 他的相应的你的人际沟通压力
[02:09:46 - 02:09:49] 他是个祭典
[02:09:49 - 02:09:50] 为啥没听明白
[02:09:50 - 02:09:52] 就是是这样子
[02:09:52 - 02:09:53] 你在和一个
[02:09:54 - 02:09:56] 非你语种的人在沟通的时候
[02:09:56 - 02:09:58] 你是不是有压力的
[02:09:58 - 02:09:59] 有吧
[02:09:59 - 02:10:00] 他是通过
