[00:24:00 - 00:24:02] 后来你们变成了付费会员
[00:24:02 - 00:24:04] 我在高你怎么去算的吧
[00:24:09 - 00:24:12] 不想听定价是吧
[00:24:12 - 00:24:14] 不想听定价就算了
[00:24:14 - 00:24:16] 行 那我们就找一下吧
[00:24:16 - 00:24:19] 然后这个这个这个AI免费
[00:24:19 - 00:24:22] 然后无限次AI做解体
[00:24:22 - 00:24:26] 然后优先AI优先真人老师去帮助付费
[00:24:26 - 00:24:28] 帮助付费对吧
[00:24:29 - 00:24:30] 就是定价是这样
[00:24:30 - 00:24:32] 我们是基于成本定价法
[00:24:32 - 00:24:35] 我们基于是成本定价法
[00:24:35 - 00:24:39] 成本定价没有按照特别复杂的定价
[00:24:39 - 00:24:42] 因为说说实话就是不想
[00:24:42 - 00:24:44] 不想挣你们钱的
[00:24:44 - 00:24:46] 就是但是我得回本
[00:24:46 - 00:24:48] 所以用的是成本定价法去做的
[00:24:48 - 00:24:50] 就是我们算了每一个小时
[00:24:50 - 00:24:54] ASR的成本再加上大模型成本
[00:24:54 - 00:24:56] 然后在这上面去加了一个
[00:24:56 - 00:24:59] 再加上sower成本加了一个很小的
