[00:00:00 - 00:00:01] 所以在这里里面的话
[00:00:01 - 00:00:05] 我们就可以在两个向线中来去做思考和构建
[00:00:05 - 00:00:07] 做思考和构建
[00:00:07 - 00:00:10] 然后我的身高
[00:00:10 - 00:00:12] so sorry 同学们
[00:00:12 - 00:00:16] 我在初中的时候是一个小矮胖子
[00:00:16 - 00:00:19] 我在初中的时候是个小矮胖子
[00:00:19 - 00:00:21] 我做我们班的第二排
[00:00:21 - 00:00:23] 我是个三层下巴的胖子
[00:00:23 - 00:00:24] 是一个小矮胖子
[00:00:24 - 00:00:27] 所以我当时就立正发问问
[00:00:27 - 00:00:29] 我怎么一定要长高
[00:00:29 - 00:00:30] 我一定要长高
[00:00:31 - 00:00:33] 我一定要长高
[00:00:33 - 00:00:34] 我是个小矮胖子
[00:00:37 - 00:00:37] 对吧
[00:00:37 - 00:00:38] 没有办法
[00:00:38 - 00:00:39] 我是个小矮胖子
[00:00:41 - 00:00:41] 对吧
[00:00:46 - 00:00:46] 没有办法
[00:00:46 - 00:00:47] 所以就是
[00:00:48 - 00:00:48] 对吧
[00:00:50 - 00:00:52] 我想我要是长高是不是就没关系
[00:00:52 - 00:00:55] 然后最后确实就长高了
[00:00:55 - 00:00:55] 对吧
[00:00:55 - 00:00:58] 然后在两个向线上去思考
[00:00:58 - 00:00:59] 实时要学第一
