[02:30:00 - 02:30:01] 你这儿别 咱们别提Aver
[02:30:01 - 02:30:04] 你出来的东西是个视频
[02:30:04 - 02:30:07] 你已经能凭上职称了
[02:30:07 - 02:30:10] 然后你在写篇论文叫做
[02:30:10 - 02:30:14] 论人工智能在教学辅助中的应用
[02:30:14 - 02:30:16] 上一下核看
[02:30:16 - 02:30:18] 你不就凭上职称了吗
[02:30:21 - 02:30:24] 就是对吧
[02:30:24 - 02:30:25] 这个产品这儿呢
[02:30:25 - 02:30:27] 名字在这里
[02:30:27 - 02:30:28] videotour
[02:30:28 - 02:30:29] 这个名字
[02:30:29 - 02:30:30] 你们去试试
[02:30:30 - 02:30:34] 他还支持API
[02:30:34 - 02:30:34] 对吧
[02:30:37 - 02:30:39] 声称这个级别的视频
[02:30:39 - 02:30:40] 很简单
[02:30:40 - 02:30:46] 你随便用一个视频小模型就能去升这个
[02:30:46 - 02:30:48] 这个难度真心不大
[02:30:49 - 02:30:49] 对吧
[02:30:50 - 02:30:51] 对吧
[02:30:51 - 02:30:52] 真心不大
[02:30:52 - 02:30:55] 然后再给大家看几个好玩的产品
[02:30:55 - 02:30:58] 这个产品我认为特别的巧妙
[02:30:58 - 02:30:59] 我很喜欢这个
