[00:00:00 - 00:00:02] 是可以做成全包业,就是彻底包业
[00:00:02 - 00:00:10] 就是说他认为是25块钱每个月就可以完全覆盖80%以上的这种人群的需求
[00:00:10 - 00:00:15] 然后不需要去做time plan,不需要做以时间为卡口的
[00:00:15 - 00:00:19] 他给我了一些很明确的论证的逻辑
[00:00:19 - 00:00:22] 就是说他调研,然后看数据等等一些东西
[00:00:22 - 00:00:24] 然后你们觉得这个的问题是什么?
[00:00:24 - 00:00:27] 你们觉得这个的问题是什么?
[00:00:27 - 00:00:33] 我们先不说你们觉得应该比这个要贵是吗?
[00:00:33 - 00:00:38] 所以我把它否掉了,我把它否掉了,我把它否掉了
[00:00:38 - 00:00:40] 你们知道这里面的问题是什么吗?
[00:00:40 - 00:00:43] 你们知道这里面问题是什么吗?
[00:00:43 - 00:00:50] 不是共享问题,同学们,也不是中转问题,那都是第二步
[00:00:50 - 00:00:53] 那都是第二步,我一定要给你们去讲一个
[00:00:54 - 00:00:59] 你们对于定价这件事还是有点学在你
[00:00:59 - 00:01:00] 是这样子的
