[00:00:00 - 00:00:02] 就在这起到什么样的作用
[00:00:02 - 00:00:03] AI咱们现在所去看到的
[00:00:03 - 00:00:05] 就是图片实别
[00:00:05 - 00:00:08] 然后再加了一点点的大步行的基础能力
[00:00:08 - 00:00:09] 这个东西说实在话
[00:00:09 - 00:00:12] 你们用VibroCoding去做
[00:00:12 - 00:00:16] 也不会超过三天就能做出来一样的东西
[00:00:17 - 00:00:19] 但是它的主要的特点是什么
[00:00:19 - 00:00:21] 有没有已经存在的产品
[00:00:22 - 00:00:25] 就是忘了关自动付费的这么一个事
[00:00:25 - 00:00:26] 对吧
[00:00:26 - 00:00:27] 直拉存不留存
[00:00:27 - 00:00:28] 坚决不留存
[00:00:28 - 00:00:29] 留存还费了token
[00:00:30 - 00:00:31] 它已经存在什么样的产品
[00:00:32 - 00:00:35] 是不是在这市面上有特别多的
[00:00:35 - 00:00:37] 热量记录类的软件
[00:00:37 - 00:00:39] 你们肯定都用过
[00:00:39 - 00:00:39] 对不对
[00:00:39 - 00:00:41] 肯定都用过一些
[00:00:41 - 00:00:43] 今天我要记我吃了这个
[00:00:43 - 00:00:44] 明天我记我吃的那个
[00:00:44 - 00:00:45] 对不对
[00:00:45 - 00:00:46] 对吧
[00:00:46 - 00:00:47] 都有这类的产品
[00:00:48 - 00:00:49] 但是
[00:00:50 - 00:00:51] 但是
[00:00:51 - 00:00:51] 对吧
[00:00:52 - 00:00:53] 但是
[00:00:54 - 00:00:56] 为什么你用不下来
[00:00:56 - 00:00:57] 或者说绝大多数
[00:00:57 - 00:00:57] 反正我是用不下来
[00:00:57 - 00:00:58] 原因是什么
[00:00:58 - 00:01:00] 这个
