[00:00:00 - 00:00:03] 然后它的这个产品你只能挣到100万美元左右
[00:00:03 - 00:00:05] 然后这个产品就他们赶了
[00:00:05 - 00:00:07] 就被人就被人抄了 竞争了
[00:00:07 - 00:00:08] 被人淘汰了
[00:00:08 - 00:00:10] 就再没人用了 你干不干
[00:00:15 - 00:00:15] 你干不干
[00:00:20 - 00:00:22] 我希望大家了解一个东西
[00:00:22 - 00:00:23] 这种产品的生存周期
[00:00:23 - 00:00:25] 我认为就是几个月到一年
[00:00:26 - 00:00:28] 就是几个月到一年
[00:00:28 - 00:00:29] 就这样子的
[00:00:29 - 00:00:31] 我们要说有一个东西啊
[00:00:31 - 00:00:34] 这个要多讲一点点东西
[00:00:34 - 00:00:35] 是这样子的
[00:00:35 - 00:00:39] 企业产品是两层的东西
[00:00:39 - 00:00:46] 一个产品世界上绝大多数产品的生命周期
[00:00:46 - 00:00:48] 都没有你们想象的那么的长久
[00:00:49 - 00:00:52] 都没有你们想象的那么的长久
[00:00:52 - 00:00:55] 然后一个企业才是要想办法
[00:00:55 - 00:00:56] 企业长青的
