[00:06:00 - 00:06:05] 一个就是在于你在在不同时候的资本推出通路问题
[00:06:05 - 00:06:06] 资本推出通路问题
[00:06:06 - 00:06:09] 在当时的时候的话你可以去美国上市
[00:06:09 - 00:06:13] 因为那达克的话其实是可以亏损上市的
[00:06:13 - 00:06:15] 那达克是可以亏损上市的
[00:06:15 - 00:06:18] 而你大A是不可以亏损上市的
[00:06:18 - 00:06:19] 对吧
[00:06:19 - 00:06:22] 港股你也对于他的整体的一些情况的要求会更高一点
[00:06:22 - 00:06:23] 对吧
[00:06:23 - 00:06:24] 那基于这个点
[00:06:24 - 00:06:26] 那好你资本投了中国一个项目
[00:06:26 - 00:06:28] 那基本上是没有好的退出通路的
[00:06:28 - 00:06:30] 而且美资也很能进得来
[00:06:30 - 00:06:32] 那好如果是在大家一会在港股上市的话
[00:06:32 - 00:06:33] 那就需要什么
[00:06:33 - 00:06:35] 那需要这个公司能挣钱的
[00:06:35 - 00:06:36] 那需要能挣钱的话
[00:06:36 - 00:06:37] 那需要投什么
[00:06:37 - 00:06:41] 投的根本就不是说你这个公司是一开始有一个好的
[00:06:41 - 00:06:43] 有一个好的模式
[00:06:43 - 00:06:44] 有一个好的IDR
[00:06:44 - 00:06:45] 然后有一个好的方向
[00:06:45 - 00:06:49] 然后的话你跟大家去说我这个我这个story很好
[00:06:49 - 00:06:51] 然后你给我钱我去稍微的梦想
[00:06:51 - 00:06:52] 现在没有这么玩的了
[00:06:52 - 00:06:54] 现在核心的逻辑
[00:06:54 - 00:06:58] 北政也得是有盈利的呀
[00:06:58 - 00:07:00] 中国的资本市场很严格
