[02:18:00 - 02:18:02] 反正老师也不盯着他
[02:18:02 - 02:18:04] 也不盯着他
[02:18:04 - 02:18:10] 就是客观言连讲在AI教育上
[02:18:10 - 02:18:14] 我们看到了很多非常非常不好的东西
[02:18:14 - 02:18:16] 我只是想一会再给你们看几个好的东西
[02:18:16 - 02:18:17] 洗洗眼睛
[02:18:17 - 02:18:18] 但是我想告诉你
[02:18:18 - 02:18:20] 这个行业它是这个样子
[02:18:20 - 02:18:21] 它是这个样子
[02:18:21 - 02:18:23] 如果你再说这个教育行业
[02:18:23 - 02:18:26] 特别不好的东西
[02:18:26 - 02:18:28] 你们知道AI
[02:18:28 - 02:18:30] AI自洗使吗
[02:18:30 - 02:18:33] 主要你们知道AI自洗使吗
[02:18:37 - 02:18:38] 是这样子
[02:18:38 - 02:18:40] 你这个已经非常好了
[02:18:40 - 02:18:41] 你这已经非常好了
[02:18:41 - 02:18:43] AI自洗使是这样子的
[02:18:43 - 02:18:45] AI自洗使的话
[02:18:45 - 02:18:48] 是在前年开始一个非常好的生意
[02:18:48 - 02:18:50] 是一个非常好的生意
[02:18:50 - 02:18:52] 从生意的角度上来讲非常的好
[02:18:52 - 02:18:54] 然后满南街都是是吧
[02:18:54 - 02:18:56] 他们的商业模式是这样子的
[02:18:56 - 02:18:59] 他的商业模式是走加盟模式
[02:18:59 - 02:19:00] 就是
