[00:00:00 - 00:00:03] 我個人認為小班是很扯的一種方式
[00:00:03 - 00:00:10] 我認真的說我個人對於小班課我是最看不上
[00:00:10 - 00:00:13] 我認為小班課特別沒有意義
[00:00:13 - 00:00:21] 小班課我課完一點講是給誰用的
[00:00:21 - 00:00:28] 瑜伽小班課沒有問題
[00:00:28 - 00:00:31] 瑜伽小班課沒有任何問題
[00:00:31 - 00:00:34] 但是孩子英語的小班課你覺得它有什麼意義嗎
[00:00:34 - 00:00:38] 瑜伽小班課沒有任何問題
[00:00:38 - 00:00:44] 然後教學體一對一一定是最好的
[00:00:44 - 00:00:46] 再現大班課一定是最弱的
[00:00:46 - 00:00:51] 再現小班課是相對來講不上不下的一個狀況
[00:00:51 - 00:00:54] 不上不下的一個狀況
[00:00:54 - 00:00:58] 最好的形式是那種你看到了三種現在已經跑出來的結構
[00:00:58 - 00:00:59] 跑出來的結構
