[00:00:00 - 00:00:02] 然后给大家说它的主要一些功能
[00:00:02 - 00:00:03] 一个是上传作文
[00:00:03 - 00:00:04] 因为它家做大语文
[00:00:04 - 00:00:06] 上传作文之后给你的AI做诊断
[00:00:08 - 00:00:10] 然后根据你缺什么
[00:00:10 - 00:00:11] 根据你的AI诊断
[00:00:11 - 00:00:13] 说你到底是浅子造句不好
[00:00:13 - 00:00:16] 还是你的整体的表达不好
[00:00:16 - 00:00:18] 还是其他什么东西不好
[00:00:18 - 00:00:20] 根据能力安排内容和学习的方案
[00:00:20 - 00:00:22] 然后在这边比如说
[00:00:22 - 00:00:25] 它做了一些启发式的互动
[00:00:25 - 00:00:26] 比如说你最后这段
[00:00:26 - 00:00:28] 你想去改哪段的设计
[00:00:28 - 00:00:30] 这里面最后这段
[00:00:30 - 00:00:32] 你希望改成哪个方式
[00:00:32 - 00:00:33] 对吧
[00:00:33 - 00:00:36] 通过人和AI
[00:00:36 - 00:00:38] 共同完成相应的创作
[00:00:42 - 00:00:45] 把学生的心态搞崩溃是吧
[00:00:45 - 00:00:47] 是这样子的
[00:00:47 - 00:00:51] 就是两方面的东西
[00:00:51 - 00:00:53] 就是你不能把题目
[00:00:53 - 00:00:57] 每一集的难度系数差别那么大
[00:00:57 - 00:00:59] 你不能把难度系数做得满
