[00:26:00 - 00:26:02] 也就是说其实他的这个免费的次数
[00:26:02 - 00:26:04] 包括给的量其实是AVTEC出来的
[00:26:04 - 00:26:06] AVTEC出来的对吧
[00:26:06 - 00:26:08] 好吧然后这个是他的这个效果
[00:26:08 - 00:26:11] 高斯这个效果在24年的时候还是不错的
[00:26:11 - 00:26:13] 新的数据没难道
[00:26:13 - 00:26:13] 然后的话
[00:26:13 - 00:26:15] 当时他的整个下载量
[00:26:15 - 00:26:17] 以及他的这个收入的状态就还好
[00:26:17 - 00:26:20] 差不多一个月的话100多多万吧
[00:26:20 - 00:26:23] 然后就算是一个这个这个在小产品
[00:26:23 - 00:26:24] 没有太多推的情况下
[00:26:24 - 00:26:27] 就还可以的一个这么一个状态
[00:26:27 - 00:26:29] B端的产品的定价机制是这样子
[00:26:29 - 00:26:31] B端的产品你一般来讲的话
[00:26:31 - 00:26:35] 是根据他的人工替代率的5%左右去定价
[00:26:35 - 00:26:36] 人工替代
[00:26:36 - 00:26:39] 你原本那个人多少多少钱
[00:26:39 - 00:26:43] 你按照按照按照按照5%到10%来去定价
[00:26:43 - 00:26:45] AVTEC对吧
[00:26:45 - 00:26:48] 然后但是他这个产品有一个好的点
[00:26:48 - 00:26:50] 就是说他的日火相对来讲
[00:26:50 - 00:26:52] 涨的会比较稳健一些
[00:26:52 - 00:26:55] 会做的比较的稳健
[00:26:55 - 00:26:56] AVTEC不是价值计算
[00:26:56 - 00:27:00] 就是AVTEC是这样子的
