[00:00:00 - 00:00:01] SD去了之后会怎样
[00:00:03 - 00:00:04] who care
[00:00:07 - 00:00:08] who care
[00:00:09 - 00:00:10] 所以在这个问题上
[00:00:10 - 00:00:12] 我这个为什么单独拿出来说一点
[00:00:12 - 00:00:13] 第一个是我想让你们看明白
[00:00:13 - 00:00:15] 就是这种突学校的业务
[00:00:15 - 00:00:16] 到底它的内核是什么
[00:00:16 - 00:00:19] 我给你们讲讲这东西的内核是什么
[00:00:19 - 00:00:21] 这是做这类业务的内核
[00:00:21 - 00:00:21] 不好听
[00:00:21 - 00:00:23] 但是事实上真的就这样
[00:00:23 - 00:00:23] 第二个
[00:00:23 - 00:00:28] 如果你们谁有机会去做这类的产品
[00:00:28 - 00:00:32] 我特别希望你们能做出来一点
[00:00:32 - 00:00:34] 基于大型的好点的东西
[00:00:34 - 00:00:37] 就哪怕一个人这是你的功德
[00:00:37 - 00:00:41] 这是这是这是盛造七级浮涂的东西
[00:00:41 - 00:00:44] 比你做出来一年DAO上亿的产品
[00:00:44 - 00:00:47] 你的成你的成就感更高
[00:00:47 - 00:00:49] 不是你不是不该赚
[00:00:49 - 00:00:50] 你要想着去赚这个钱
[00:00:51 - 00:00:53] 你只能把这个业务做的好一点
[00:00:53 - 00:00:56] 哪怕就个人这钱就该你赚
[00:00:56 - 00:00:57] 不要想着不要去赚这个钱
[00:00:57 - 00:00:59] 这钱总有人要赚
[00:00:59 - 00:01:00] 为什么
