[01:27:00 - 01:27:03] 我個人認為小班是很扯的一種方式
[01:27:03 - 01:27:10] 我認真的說我個人對於小班課我是最看不上
[01:27:10 - 01:27:13] 我認為小班課特別沒有意義
[01:27:13 - 01:27:21] 小班課我課完一點講是給誰用的
[01:27:21 - 01:27:28] 瑜伽小班課沒有問題
[01:27:28 - 01:27:31] 瑜伽小班課沒有任何問題
[01:27:31 - 01:27:34] 但是孩子英語的小班課你覺得它有什麼意義嗎
[01:27:34 - 01:27:38] 瑜伽小班課沒有任何問題
[01:27:38 - 01:27:44] 然後教學體一對一一定是最好的
[01:27:44 - 01:27:46] 再現大班課一定是最弱的
[01:27:46 - 01:27:51] 再現小班課是相對來講不上不下的一個狀況
[01:27:51 - 01:27:54] 不上不下的一個狀況
[01:27:54 - 01:27:58] 最好的形式是那種你看到了三種現在已經跑出來的結構
[01:27:58 - 01:27:59] 跑出來的結構
