[02:47:00 - 02:47:04] 我和助教和班班的群助教老师在那个小区给我收到的
[02:47:07 - 02:47:11] 还有我告诉你上一届有一个孩子
[02:47:12 - 02:47:15] 姑娘告诉我转行成功了
[02:47:15 - 02:47:16] 我说好棒
[02:47:16 - 02:47:17] 我说你以前做什么呢
[02:47:17 - 02:47:19] 我以前是建筑设计院的
[02:47:19 - 02:47:21] 我说我的天呐
[02:47:22 - 02:47:23] 真的
[02:47:23 - 02:47:24] 我说我的天呐
[02:47:24 - 02:47:26] 我说你是建筑设计院的
[02:47:26 - 02:47:28] 我说他如果真的是建筑设计院
[02:47:28 - 02:47:29] 不信老师
[02:47:29 - 02:47:30] 我给你看这个
[02:47:30 - 02:47:33] 他给我发了一个他的离职的东西
[02:47:33 - 02:47:36] 他是某个建筑设计院的高级设计员
[02:47:36 - 02:47:38] 然后转到了产品
[02:47:38 - 02:47:39] 说新增长了好多
[02:47:39 - 02:47:41] 果然你们这个东西挣钱
[02:47:43 - 02:47:46] 我说姑娘你你你工作几年了
[02:47:46 - 02:47:47] 工作八年了
[02:47:47 - 02:47:48] 我今年三十了
[02:47:48 - 02:47:50] 转转得很开心
[02:47:50 - 02:48:00] 我说我说姑娘你真的好棒好勇敢啊
