[02:10:00 - 02:10:04] 这张臭脸模拟上压力的这个状态
[02:10:05 - 02:10:06] 然后第二个
[02:10:06 - 02:10:09] 这种不是特别的这种甜美
[02:10:10 - 02:10:14] 然后服务性的表情更容易有记忆点
[02:10:14 - 02:10:15] 更容易有记忆点
[02:10:15 - 02:10:17] 这是莉莉的人设
[02:10:17 - 02:10:21] 但为什么选择莉莉去做这个视频通话的人物啊
[02:10:21 - 02:10:22] 对吧
[02:10:22 - 02:10:23] 为什么选他
[02:10:23 - 02:10:25] 这个才是最重要的
[02:10:25 - 02:10:27] 就是为什么不选这个门啊
[02:10:28 - 02:10:31] 这个阳光帅气大男孩去做的话
[02:10:32 - 02:10:34] 那为什么没有去选他呢
[02:10:34 - 02:10:37] 莉莉确实是臭脸人设这事没问题
[02:10:37 - 02:10:38] 对吧
[02:10:38 - 02:10:42] 然后之后他又在多灵光麦兽增加了一个这个沉浸式场景
[02:10:42 - 02:10:43] 这只有美区有
[02:10:44 - 02:10:45] 美区有
[02:10:47 - 02:10:48] 叫做Adventure
[02:10:48 - 02:10:50] 然后就是相当于是一个整体的环境
[02:10:51 - 02:10:53] 你和不同的人在这边去做对话
[02:10:53 - 02:10:55] 这个也是通过AI来去做的
[02:10:55 - 02:10:56] 给部分的东西
[02:10:56 - 02:10:59] 然后他通过AI去做了相应的科诞家的提升
