[00:10:00 - 00:10:02] 不公平對不對
[00:10:03 - 00:10:07] 那我收你點錢應該是很公平
[00:10:07 - 00:10:09] 路伯克當然能用啊
[00:10:11 - 00:10:14] 大家的邏輯今天先不講了
[00:10:14 - 00:10:16] 今天我先講個好啊
[00:10:16 - 00:10:18] 你當我銷售好啊
[00:10:18 - 00:10:19] 好啊好啊來同學們
[00:10:20 - 00:10:22] 明白什麼叫產品思維了嗎
[00:10:22 - 00:10:24] 明白什麼叫產品思維了嗎
[00:10:24 - 00:10:27] 這就是產品思維
[00:10:27 - 00:10:30] 就是看到你們有痛點了
[00:10:30 - 00:10:32] 咱們認真的講一件事
[00:10:32 - 00:10:35] 看到你們有痛點了什麼是好的產品
[00:10:35 - 00:10:35] 經理
[00:10:36 - 00:10:38] 看到一群人有痛點了有需求了
[00:10:39 - 00:10:43] 我不把這玩做出來的話我我我我心裡就變
[00:10:43 - 00:10:44] 我就得把它做出來
[00:10:44 - 00:10:45] 然後
[00:10:45 - 00:10:46] 然後
[00:10:46 - 00:10:49] 然後下了課之後自己花40分鐘搓了個
[00:10:49 - 00:10:52] 東西出來然後內部有因為我有一些種子
[00:10:53 - 00:10:55] 用戶然後讓他們前去拆拆完之後覺得不錯
[00:10:56 - 00:10:58] 然後再給你們拆拆完之後我就可以去進開發了
[00:10:58 - 00:10:59] 進完開發之後部署完

[00:11:00 - 00:11:02] 上线之后可能争取两周吧
[00:11:02 - 00:11:04] 争取两周出现Alpha版本
[00:11:04 - 00:11:07] 然后你们就可以用一用
[00:11:07 - 00:11:07] 对吧
[00:11:07 - 00:11:09] 我的课你们免费
[00:11:09 - 00:11:10] 听别人课里给我收尾
[00:11:10 - 00:11:11] 对不对
[00:11:11 - 00:11:12] 很公平
[00:11:12 - 00:11:14] 这一个小商业不就跑通了
[00:11:14 - 00:11:15] 所以大家知道
[00:11:15 - 00:11:16] 在现在这个东西
[00:11:16 - 00:11:18] 你真的是有这种ID
[00:11:18 - 00:11:19] 有这种sense之后
[00:11:19 - 00:11:20] 话遍地黄金
[00:11:20 - 00:11:20] 对不对
[00:11:22 - 00:11:23] 40分钟你别
[00:11:23 - 00:11:24] 什么叫太强
[00:11:24 - 00:11:25] 你这不骂我吗
[00:11:25 - 00:11:26] 因为我老了
[00:11:26 - 00:11:27] 手没这么快
[00:11:27 - 00:11:27] 对不对
[00:11:27 - 00:11:28] 好
[00:11:28 - 00:11:29] 那现在
[00:11:30 - 00:11:30] 对吧
[00:11:30 - 00:11:31] 既然给大家讲
[00:11:31 - 00:11:32] 个人助理的Agent
[00:11:32 - 00:11:34] 和人技术差解和产品设计
[00:11:34 - 00:11:35] 今天我们会给大家
[00:11:35 - 00:11:36] 重点讲讲产品思路
[00:11:36 - 00:11:38] 少一点点工作流
[00:11:38 - 00:11:39] 多一点点产品思路好不好
[00:11:39 - 00:11:41] 多一点点产品思路好不好
[00:11:41 - 00:11:41] 啊
[00:11:41 - 00:11:42] OK
[00:11:42 - 00:11:42] 好
[00:11:42 - 00:11:43] 我们上一节回顾一下
[00:11:43 - 00:11:44] 关键点是什么
[00:11:44 - 00:11:46] 关键点是行业分析
[00:11:46 - 00:11:48] 因为我们觉得就是说
[00:11:48 - 00:11:49] 在你去求职找工作
[00:11:49 - 00:11:50] 尤其是B端这块东西
[00:11:50 - 00:11:51] 其实最关键
[00:11:51 - 00:11:52] 其实是在于行业分析
[00:11:52 - 00:11:54] 而不在于
[00:11:54 - 00:11:55] 说你能够用一个什么样的技术
[00:11:55 - 00:11:56] 对吧
[00:11:56 - 00:11:57] 然后
[00:11:57 - 00:11:57] 这个
[00:11:57 - 00:11:58] 你看过这个东西
[00:11:58 - 00:11:59] 其实也是一样
[00:11:59 - 00:12:00] 你说我
