[00:00:00 - 00:00:02] 是非常非常的有意思的
[00:00:02 - 00:00:07] ASR就是语音转文字叫ASR
[00:00:07 - 00:00:10] 文字转语音叫TTAS
[00:00:10 - 00:00:12] 叫TTAS
[00:00:12 - 00:00:13] 对不对 对吧
[00:00:13 - 00:00:17] 所以包越设上线在家充值包
[00:00:17 - 00:00:19] 我跟他说 我说这个设咱们不讨论了
[00:00:19 - 00:00:21] 包越设上线加充值包咱们不讨论了
[00:00:21 - 00:00:23] 你可以给我定价格
[00:00:23 - 00:00:25] 你也可以给我去来去设置里面的量
[00:00:25 - 00:00:27] 这个东西你来去设计
[00:00:27 - 00:00:29] 然后其他东西我们不用去算了
[00:00:29 - 00:00:31] 懂了吧
[00:00:31 - 00:00:32] OK
[00:00:32 - 00:00:35] 就一定是要去设最高用时的包越
[00:00:35 - 00:00:36] 而且就是最高用时包越
[00:00:36 - 00:00:38] 包越一定是给了多一些的
[00:00:38 - 00:00:40] 然后以后再买充公值包的话
[00:00:40 - 00:00:42] 它的性价比就没有这么高的
[00:00:42 - 00:00:44] 一定是这么去做设计
[00:00:44 - 00:00:45] 对不对
[00:00:45 - 00:00:48] 大家明白这里面的
[00:00:48 - 00:00:51] 就是在这种机制的定价逻辑了
[00:00:51 - 00:00:52] 就是你要不然是按次
[00:00:52 - 00:00:53] 要不然按时长
[00:00:53 - 00:00:56] 你可以给一定的免费量
[00:00:56 - 00:00:57] 但是alright网上去放开
[00:00:57 - 00:00:58] 这些事就很麻烦了
