[00:00:00 - 00:00:05] 在4年6月1415算是个挺明星的产品
[00:00:05 - 00:00:08] 5000万美元的幣率用户量达到了3000万
[00:00:08 - 00:00:10] 然后17年实现营收
[00:00:10 - 00:00:13] 然后加了一对一加了机器人
[00:00:13 - 00:00:16] 然后之后这个到2018年的6月
[00:00:16 - 00:00:19] 宣布这个一对一月营收就破亿了
[00:00:19 - 00:00:21] 蓄费率超了87%
[00:00:21 - 00:00:23] 然后两年之后倒闭了
[00:00:23 - 00:00:25] 同学们要注意一件事
[00:00:25 - 00:00:27] 第一个K12
[00:00:27 - 00:00:28] K12咱们认真的说
[00:00:28 - 00:00:33] K12是这个世界上难得的好业务
[00:00:33 - 00:00:37] K12真的是这个世界上难得的好业务
[00:00:37 - 00:00:38] 对吧
[00:00:38 - 00:00:40] 它很刚需
[00:00:40 - 00:00:41] 它很高贫
[00:00:41 - 00:00:42] 它是长序费
[00:00:42 - 00:00:47] 所以K12是真的是一个太赚钱的业务了
[00:00:47 - 00:00:50] 咱们有同学之前是做K12吗
[00:00:50 - 00:00:53] 同时到2021年7月份的时候
[00:00:53 - 00:00:54] 双减政策才落地
[00:00:54 - 00:00:57] 它没有死在双减之后
[00:00:57 - 00:00:59] 它是在双减之前就死了
