[01:24:00 - 01:24:02] 不凑齐这个小班是难的
[01:24:02 - 01:24:05] 但是凑齐大班是很容易的
[01:24:06 - 01:24:11] 凑齐小班容易 凑齐大班很容易
[01:24:11 - 01:24:12] 凑齐小班很难
[01:24:12 - 01:24:14] 不 凑齐大班很容易
[01:24:14 - 01:24:16] 凑齐小班不容易
[01:24:16 - 01:24:18] 大家是否理解这件事
[01:24:18 - 01:24:19] 咱们是大班
[01:24:19 - 01:24:21] 为什么大班容易
[01:24:21 - 01:24:23] 大班谁跟你凑啊
[01:24:23 - 01:24:25] 大班就是周一周四上课
[01:24:25 - 01:24:27] 来就来不来就算
[01:24:27 - 01:24:29] 小班课
[01:24:29 - 01:24:31] 小班课是这样子的
[01:24:31 - 01:24:36] 小班课是消耗学识的
[01:24:36 - 01:24:38] 同学们 你们是对
[01:24:38 - 01:24:39] 得给你们稍微讲一讲
[01:24:39 - 01:24:40] 给你们稍微讲一讲
[01:24:40 - 01:24:42] 咱们这个课
[01:24:42 - 01:24:43] 咱们这个课是什么
[01:24:43 - 01:24:46] 咱们这个课是大班课
[01:24:46 - 01:24:47] 你甭管多少人
[01:24:47 - 01:24:48] 他也是大班课
[01:24:48 - 01:24:49] 什么叫做大班课
[01:24:49 - 01:24:50] 不是高度定制化
[01:24:50 - 01:24:52] 我给你讲一个逻辑
[01:24:52 - 01:24:53] 什么是大班课
[01:24:53 - 01:24:56] 就是我周一周四上
[01:24:56 - 01:24:57] 你们有空来听
[01:24:57 - 01:24:59] 没空没有办法听路播
