[00:00:00 - 00:00:02] 反正老师也不盯着他
[00:00:02 - 00:00:04] 也不盯着他
[00:00:04 - 00:00:10] 就是客观言连讲在AI教育上
[00:00:10 - 00:00:14] 我们看到了很多非常非常不好的东西
[00:00:14 - 00:00:16] 我只是想一会再给你们看几个好的东西
[00:00:16 - 00:00:17] 洗洗眼睛
[00:00:17 - 00:00:18] 但是我想告诉你
[00:00:18 - 00:00:20] 这个行业它是这个样子
[00:00:20 - 00:00:21] 它是这个样子
[00:00:21 - 00:00:23] 如果你再说这个教育行业
[00:00:23 - 00:00:26] 特别不好的东西
[00:00:26 - 00:00:28] 你们知道AI
[00:00:28 - 00:00:30] AI自洗使吗
[00:00:30 - 00:00:33] 主要你们知道AI自洗使吗
[00:00:37 - 00:00:38] 是这样子
[00:00:38 - 00:00:40] 你这个已经非常好了
[00:00:40 - 00:00:41] 你这已经非常好了
[00:00:41 - 00:00:43] AI自洗使是这样子的
[00:00:43 - 00:00:45] AI自洗使的话
[00:00:45 - 00:00:48] 是在前年开始一个非常好的生意
[00:00:48 - 00:00:50] 是一个非常好的生意
[00:00:50 - 00:00:52] 从生意的角度上来讲非常的好
[00:00:52 - 00:00:54] 然后满南街都是是吧
[00:00:54 - 00:00:56] 他们的商业模式是这样子的
[00:00:56 - 00:00:59] 他的商业模式是走加盟模式
[00:00:59 - 00:01:00] 就是
