[00:00:00 - 00:00:03] 做难度的相对的平滑分布
[00:00:03 - 00:00:05] 他们家UI特别的臭
[00:00:05 - 00:00:09] 他就是你可以认为是把采云小梦的那个功能
[00:00:09 - 00:00:10] 变成了孩子作文
[00:00:10 - 00:00:13] 同时变成启发式
[00:00:13 - 00:00:15] 而且还可以回想以前的内容
[00:00:15 - 00:00:18] 然后他也做了这种超访真数字化老师
[00:00:18 - 00:00:21] 这是他们家做的一个
[00:00:21 - 00:00:27] 我觉得我不太能凭价的一个产品
[00:00:27 - 00:00:28] 但是我要给大家讲
[00:00:28 - 00:00:33] 这是目前市面上有的这种比较有意思的产品方向
[00:00:33 - 00:00:35] 右上角这是豆腥老师
[00:00:35 - 00:00:37] 这是他们家的主IEI
[00:00:37 - 00:00:39] 他们家的老板
[00:00:39 - 00:00:44] 他们家用超访真AI数字人老师做小班客
[00:00:47 - 00:00:52] 然后做小班客
[00:00:52 - 00:00:56] 你们能理解这件事是个什么样的事吗
[00:00:56 - 00:00:59] 就是这个功能是很多家在做
