[00:00:00 - 00:00:03] 招聘和技校引用AI使用标准
[00:00:04 - 00:00:06] 这条技校非常有意思
[00:00:06 - 00:00:11] 这个其实在很多现在一线公司里都有类似的东西
[00:00:11 - 00:00:13] 你们知道Manta出了一个什么样的事吗
[00:00:13 - 00:00:14] Manta出了一个事就是
[00:00:15 - 00:00:21] 有某个不知名员工在一个月内用掉了120万美元的Token
[00:00:21 - 00:00:21] 你知道吗
[00:00:22 - 00:00:23] 为什么会出现这种状况呢
[00:00:23 - 00:00:25] 因为各个部门层层加码
[00:00:25 - 00:00:28] 就常常谁用的Token多谁的KPI这就会好
[00:00:29 - 00:00:31] 然后就有人在T1代码的时候的话
[00:00:31 - 00:00:34] 就用那种代码的这个循环生成不断的去用AI
[00:00:34 - 00:00:36] 是用了一种很浪费的方法
[00:00:36 - 00:00:38] 但是我不认同这种方式
[00:00:38 - 00:00:42] 但是我认同的话就是招聘和技校引用AI作为使用标准
[00:00:42 - 00:00:43] 这是用好的方式
[00:00:44 - 00:00:45] 这是用的好的方式
[00:00:45 - 00:00:46] 就是坦白一点讲
[00:00:46 - 00:00:48] 如果你在现在一个项目中你不用AI
[00:00:48 - 00:00:50] 我觉得是一个很扯的一件事
[00:00:50 - 00:00:50] 就是特别逗
[00:00:51 - 00:00:53] 我新招了个技术
[00:00:53 - 00:00:56] 我新招了一个全占工程师很年轻
[00:00:56 - 00:00:58] 但是基本上都快成了这种原生外部
