[00:44:00 - 00:44:04] 但是我个人认为这么小的一个事没必要
[00:44:04 - 00:44:05] 我个人认为是没必要
[00:44:05 - 00:44:09] 所以在这里面我存多我存多为表格
[00:44:09 - 00:44:13] 只是为了去做数据持久化操作的
[00:44:13 - 00:44:15] 没有任何其他的意义
[00:44:15 - 00:44:18] 你要说你要是建数据库可以
[00:44:18 - 00:44:20] 你去存MD可以
[00:44:20 - 00:44:25] 你写reg不太好写reg真的不太好
[00:44:25 - 00:44:28] 然后你如果说是写reg
[00:44:28 - 00:44:31] 你如果说是在这么不去存
[00:44:31 - 00:44:35] 就拿Object直接去传参
[00:44:35 - 00:44:37] 理论上也可以
[00:44:37 - 00:44:41] 但是在实际项目中可能会有点风险
[00:44:41 - 00:44:44] 不是正式项目中你可能也未必去存库
[00:44:44 - 00:44:48] 你在正式项目中在这个环节中
[00:44:48 - 00:44:52] 我认为存物理文件是最好的
[00:44:52 - 00:44:54] 你想想是不是
[00:44:54 - 00:44:56] 就是在正式项目中这个环节
[00:44:56 - 00:45:00] 我最大的建议是直接去存物理文件
