[01:51:00 - 01:51:03] 和輔導這就是所謂的心理健康艙
[01:51:03 - 01:51:07] 這就是所謂的心理健康艙
[01:51:07 - 01:51:12] 但是這個心理健康艙的問題是什麼
[01:51:12 - 01:51:17] 目前市場上的心理健康艙
[01:51:17 - 01:51:22] 全都是基於大模型之前的產品去做的
[01:51:22 - 01:51:27] 都是基於大模型前的產品的產品去做的
[01:51:27 - 01:51:31] 也就是說它的整體的水平和效果非常的糟糕
[01:51:31 - 01:51:35] 還有你們的這些問題說的就是既讓我覺得你們不懂
[01:51:35 - 01:51:38] 又讓我覺得真實的情況很殘酷
[01:51:38 - 01:51:42] 這麼小的空間不會覺得太壓抑
[01:51:42 - 01:51:45] 這真的有用各個中學一年跳樓
[01:51:45 - 01:51:47] 我告訴你們一個很殘酷的道理
[01:51:47 - 01:51:50] 這個東西的核心是什麼
[01:51:50 - 01:51:55] 我直接告訴你們
[01:51:55 - 01:52:00] 這個東西的核心是效方買它
