[00:04:00 - 00:04:08] 刚才那个那个那个谁刚才那个那个灌灯包子一边开高速一边听我的课
[00:04:08 - 00:04:11] 这这这能不让他小心吗
[00:04:11 - 00:04:13] 不是生成类的我告诉大家答案吧
[00:04:13 - 00:04:14] 我要大家答案吧
[00:04:15 - 00:04:18] 是用户能掏钱的
[00:04:21 - 00:04:22] 你们可能觉得这这这是句废话
[00:04:22 - 00:04:24] 但我告诉你这不是句废话
[00:04:24 - 00:04:29] 只有用户能掏钱的这种产品才能有机会
[00:04:30 - 00:04:33] 我没有开玩笑原因是什么
[00:04:33 - 00:04:36] 原因在于第一个谁现在在大模型这个情况下
[00:04:37 - 00:04:40] 他能够扛着能够让用户免费用
[00:04:41 - 00:04:48] 只有像新BAT这种级别的只有这种级别的才能扛得住
[00:04:49 - 00:04:53] 如果不是这种级别的话根本就扛不住大模型烧头很这件事情
[00:04:54 - 00:04:54] 对吧
[00:04:54 - 00:04:56] 而且现在的融资结构
[00:04:56 - 00:04:59] 我不知道大家对这事有没有兴趣
[00:04:59 - 00:04:59] 有没有对于
