[02:26:00 - 02:26:06] 它是可以根据你的要求快速生成视频和相应的题目测试
[02:26:06 - 02:26:07] 比如说我想学学危机分
[02:26:07 - 02:26:09] 我想学学危机分
[02:26:09 - 02:26:12] 我就给它输入一个我想学危机分入门
[02:26:12 - 02:26:14] 它就可以生成一段这个的视频
[02:26:14 - 02:26:17] 而且后面还可以有对话还可以有测试
[02:26:17 - 02:26:20] 给大家看过生成的这一段小视频
[02:26:20 - 02:26:21] 看一段声音
[02:26:22 - 02:26:24] 危机分是数学中最重要的分支之一
[02:26:24 - 02:26:26] 它研究电缓和粤粒的微率
[02:26:26 - 02:26:28] 危机分包含两大核心面由
[02:26:28 - 02:26:30] 微分学和机分学
[02:26:30 - 02:26:33] 微分学主要研究函数在某一点的顺势电花率
[02:26:33 - 02:26:35] 也就是切线的斜率
[02:26:35 - 02:26:39] 机分学则研究函数在某个区间内的累积量
[02:26:39 - 02:26:41] 比如曲线下的面积
[02:26:41 - 02:26:43] 这两个概念看似相反
[02:26:43 - 02:26:45] 但实际上通过危机分基本定理
[02:26:45 - 02:26:47] 请你联系在一起
[02:26:47 - 02:26:49] 微分学的核心概念是导数
[02:26:49 - 02:26:52] 表示函数在某一点的顺势电花率
[02:26:52 - 02:26:53] 从几何角度看
[02:26:53 - 02:26:56] 导数就是曲线在该点的切线斜率
[02:26:56 - 02:26:58] 我们可以通过割线逼近切线
[02:26:58 - 02:26:59] 来理解
