[00:00:00 - 00:00:05] 这样下企业 第二个 调生大云它的销售卖点是这样子
[00:00:05 - 00:00:09] 他跟家长说的是叫做 他跟家长说
[00:00:09 - 00:00:15] 就是我们用了最新的AI大模型技术 自适用教学体验
[00:00:15 - 00:00:18] 豆腥老师个人的IP轻轻打造
[00:00:18 - 00:00:19] 他说的是这几句话
[00:00:22 - 00:00:25] 你家是不是没有试零的孩子
[00:00:30 - 00:00:34] 这个在试零的孩子在二线城市非常火
[00:00:34 - 00:00:36] 在二线城市非常火
[00:00:38 - 00:00:43] 就是在教育中是这样子的 孩子
[00:00:44 - 00:00:49] 孩子是教育产品的用户
[00:00:49 - 00:00:51] 而不是教育产品的客户
[00:00:51 - 00:00:53] 当他爹妈买了这个产品
[00:00:53 - 00:00:55] 又被销售人员洗了脑之后的话
[00:00:55 - 00:00:57] 孩子只能被动结束
[00:00:57 - 00:01:00] 而且被动结束对孩子来讲也不痛
