[00:00:00 - 00:00:00] 那就ok了
[00:00:03 - 00:00:05] 不懂没有关系
[00:00:05 - 00:00:06] 不懂没有关系
[00:00:06 - 00:00:06] 这不是你
[00:00:06 - 00:00:08] 这不是你的工作
[00:00:08 - 00:00:09] 这不是你的工作
[00:00:09 - 00:00:11] 这是这是技术的活
[00:00:11 - 00:00:14] 我只不过在这里面怎么说呢
[00:00:15 - 00:00:17] 我怎么说呢
[00:00:17 - 00:00:20] 我在这里面加了这个多维表格
[00:00:20 - 00:00:23] 对于有一点点技术基础和技术sense的同学
[00:00:23 - 00:00:24] 把这放上去
[00:00:24 - 00:00:26] 技术如果问你说
[00:00:26 - 00:00:26] 哎
[00:00:26 - 00:00:27] 这为什么那么多维表格
[00:00:27 - 00:00:29] 你把我刚才说的这个话
[00:00:29 - 00:00:30] 跟他们去说出来
[00:00:30 - 00:00:32] 他会对你极其的心生敬意的
[00:00:32 - 00:00:33] 就这么简单的一件事
[00:00:37 - 00:00:40] 他会觉得你不好惹
[00:00:40 - 00:00:41] 不能忽悠你
[00:00:43 - 00:00:44] 明白了吧
[00:00:44 - 00:00:45] 也就是这么点价值
[00:00:45 - 00:00:46] 其他都没啥价值
[00:00:46 - 00:00:47] 第二个问题
[00:00:47 - 00:00:48] 为什么在这门
[00:00:48 - 00:00:50] 我们就要去写信用T14
[00:00:51 - 00:00:52] 刚才说不是
[00:00:52 - 00:00:54] 你抠子工作榴在哪能存
[00:00:54 - 00:00:55] MD
[00:00:56 - 00:00:58] 抠子它是一个杀箱
[00:00:58 - 00:01:00] 它是个杀箱
