[01:49:00 - 01:49:02] 它的环节特别的多
[01:49:02 - 01:49:03] 特别特别的多
[01:49:03 - 01:49:04] 对吧
[01:49:04 - 01:49:07] 行业分析一大堆合同风险
[01:49:07 - 01:49:08] 然后提了建议
[01:49:08 - 01:49:08] 讲话一句
[01:49:08 - 01:49:09] 爱先不先
[01:49:09 - 01:49:11] 这个事是这样子
[01:49:11 - 01:49:14] 这个小太阳
[01:49:14 - 01:49:16] 没有任何的问题
[01:49:16 - 01:49:17] AI做出来
[01:49:17 - 01:49:19] 它应该做的事了
[01:49:19 - 01:49:21] AI做出来
[01:49:21 - 01:49:22] 它应该做的事了
[01:49:22 - 01:49:23] 对不对
[01:49:23 - 01:49:25] 学生这里面
[01:49:25 - 01:49:28] 有自身学习
[01:49:28 - 01:49:29] 有学习规划
[01:49:29 - 01:49:30] 排题搜索
[01:49:30 - 01:49:30] 错地本
[01:49:30 - 01:49:31] AI的数字人老师
[01:49:31 - 01:49:32] 翻译
[01:49:32 - 01:49:33] 和心理知识
[01:49:33 - 01:49:35] 我这个多说一点点
[01:49:35 - 01:49:37] 就是
[01:49:37 - 01:49:40] 目前我看过几个项目
[01:49:40 - 01:49:41] 大家知道现在
[01:49:41 - 01:49:43] 中学
[01:49:43 - 01:49:44] 都有心理
[01:49:44 - 01:49:48] 都有心理健康仓吗
[01:49:48 - 01:49:50] 大家有听说过这个事的吗
[01:49:50 - 01:49:51] 心理健康仓
[01:49:51 - 01:49:56] 都知道有是吧
[01:49:56 - 01:49:57] 就是
[01:49:57 - 01:50:00] 这种周边辅助
