[00:17:00 - 00:17:03] 甚至于这个完全包约都不太可能有
[00:17:05 - 00:17:07] 大家是否理解这个问题
[00:17:07 - 00:17:09] token太耗是一个方面的问题
[00:17:09 - 00:17:12] 第二个 我再多说一点啊
[00:17:12 - 00:17:14] 这个第二句话给你说完之后的话
[00:17:14 - 00:17:17] 就能让你在这个上面的思路再去高一层
[00:17:17 - 00:17:19] token的成本是一方面
[00:17:19 - 00:17:20] 第二个成分的话
[00:17:20 - 00:17:23] 是由于如果说是你全免费之后的话
[00:17:23 - 00:17:27] 有可能你会招来一群你不希望有的用户
[00:17:27 - 00:17:29] 我不知道大家是否理解我不的话
[00:17:29 - 00:17:30] 我开一下通了
[00:17:34 - 00:17:35] 我刚刚来一个道理
[00:17:35 - 00:17:37] 钱只是一个部分
[00:17:37 - 00:17:38] 钱只是一个部分
[00:17:38 - 00:17:40] 真正的问题是什么
[00:17:40 - 00:17:41] 真正的问题是
[00:17:41 - 00:17:42] 如果说你拿来了一群
[00:17:42 - 00:17:44] 不是你想要的用户会怎么样
[00:17:44 - 00:17:46] 付费是能全中用户
[00:17:46 - 00:17:47] 但是我们想象一个问题
[00:17:47 - 00:17:49] 如果说你做了一款产品
[00:17:49 - 00:17:51] 它里面的所有东西全都是免费的
[00:17:51 - 00:17:54] 会不会造成到了一群你不需要的用户
[00:17:54 - 00:17:57] 或者根本不是你想要的这群人
[00:17:57 - 00:17:57] 我给大家说一个东西
[00:17:57 - 00:17:59] 这是我昨天晚上
