[00:00:00 - 00:00:02] 我本身上内容外发
[00:00:02 - 00:00:05] 因为个人时间管理是吧
[00:00:05 - 00:00:06] 我稍微讲一句
[00:00:06 - 00:00:08] 我讲完这个个人时间管理
[00:00:08 - 00:00:09] 怎么算啊
[00:00:09 - 00:00:11] 我的时间管理啊
[00:00:11 - 00:00:13] 你们是不是觉得我的时间管理
[00:00:13 - 00:00:15] 还算是比较强悍呢
[00:00:15 - 00:00:17] 我的时间管理是用了一种
[00:00:17 - 00:00:22] 就是我拿伊隆马斯克的东西当底子
[00:00:22 - 00:00:23] 然后的话
[00:00:23 - 00:00:25] 我自己在这上面做了改良
[00:00:25 - 00:00:26] 我今天不讲改良
[00:00:26 - 00:00:28] 我讲伊隆马斯克的底子
[00:00:28 - 00:00:30] 伊隆马斯克底子
[00:00:30 - 00:00:32] 它叫做time boxing
[00:00:32 - 00:00:33] 什么叫做time boxing
[00:00:33 - 00:00:34] 就是
[00:00:34 - 00:00:36] 对啊
[00:00:36 - 00:00:38] 我这真的
[00:00:38 - 00:00:41] 我这经常收到感谢信
[00:00:41 - 00:00:43] 经常收到各种东西
[00:00:43 - 00:00:45] 我最近的一个感谢信
[00:00:45 - 00:00:48] 是有一个同学
[00:00:48 - 00:00:49] 刚刚拿到了
[00:00:49 - 00:00:51] 我给你看他拿到什么
[00:00:54 - 00:00:56] 前两天刚收招的
[00:00:57 - 00:00:59] 拿到了
[00:00:59 - 00:01:00] 拿到了拍给人
