[00:00:00 - 00:00:04] 现在都有机会用AI重新写一遍
[00:00:05 - 00:00:07] 不知道什么不知道稍微给你讲一讲
[00:00:07 - 00:00:09] 什么叫AI的心理健康仓
[00:00:09 - 00:00:12] 就是李祥老师你说的这五个字
[00:00:12 - 00:00:16] 如果你把你们家的这个这个这个车载系统改一下的话
[00:00:16 - 00:00:17] 我估计机会非常的大
[00:00:17 - 00:00:22] 现在的心理健康仓的状态其实是非常一般的
[00:00:22 - 00:00:23] 非常一般
[00:00:23 - 00:00:26] 如果有同学想做心理和交友的跨界
[00:00:26 - 00:00:27] 其实在这上面是有机会的
[00:00:28 - 00:00:29] 为什么是有机会的
[00:00:29 - 00:00:31] 目前的心理健康仓是什么
[00:00:31 - 00:00:34] 你可以认为就有一点像个什么东西
[00:00:35 - 00:00:36] 你们知道就是前几年
[00:00:37 - 00:00:38] 前好多年
[00:00:39 - 00:00:40] 还在疫情前的
[00:00:41 - 00:00:43] 就那个就是在哥哥shopping mall
[00:00:43 - 00:00:44] 有一个小屋子
[00:00:45 - 00:00:47] 俩人能进去唱k的那种屋子
[00:00:48 - 00:00:48] 特别像那个
[00:00:49 - 00:00:50] 然后进去之后
[00:00:51 - 00:00:52] 有一张屏幕
[00:00:53 - 00:00:55] 这个屏幕上你可以戳戳戳有一些题目
[00:00:55 - 00:00:58] 突然之后给唱你有一些反馈
