[02:35:00 - 02:35:03] 總共中央領導層是怎麼去做的總統性決策
[02:35:03 - 02:35:08] 我跟著秦也皇學當時他如何去統一平定六國
[02:35:08 - 02:35:12] 他當時殺澇矮的時候是一種什麼樣的心情
[02:35:12 - 02:35:14] 他當時在去和這個這個
[02:35:14 - 02:35:17] 他當時被經科次的時候繞住的時候
[02:35:17 - 02:35:19] 是一種什麼樣的心理感受
[02:35:19 - 02:35:20] 問大家一個問題啊
[02:35:21 - 02:35:23] 問大家一個問題啊
[02:35:23 - 02:35:26] 你有啥歷史還學不了了
[02:35:26 - 02:35:29] 對不對
[02:35:29 - 02:35:34] 我想和朱個亮聊聊
[02:35:34 - 02:35:38] 我既想跟丞相說這樣一嘴啊
[02:35:38 - 02:35:40] 說這麼一嘴啊
[02:35:40 - 02:35:44] 現在在過去已經非常勁了
[02:35:44 - 02:35:46] 同時我也想問你一句
[02:35:46 - 02:35:48] 就是當時蔚言提到你七星燈
[02:35:48 - 02:35:50] 你真的不恨嗎
[02:35:50 - 02:35:52] 對吧
[02:35:52 - 02:35:55] 對吧
[02:35:56 - 02:35:57] 這個做成中國吧
[02:35:57 - 02:35:59] 我覺得
