[00:00:00 - 00:00:03] 利润然后当做给你们的价格
[00:00:03 - 00:00:04] 然后的话
[00:00:04 - 00:00:05] 我在定一个更高的价格
[00:00:05 - 00:00:07] 变成市场价格
[00:00:07 - 00:00:08] 我估计得下个月
[00:00:08 - 00:00:10] 我估计得下个月
[00:00:11 - 00:00:12] 我估计得下个月
[00:00:15 - 00:00:22] 我认为pm我认为pm学定价机制是应该的
[00:00:22 - 00:00:23] 我认为应该是
[00:00:24 - 00:00:27] 我认为pm学定价是应该的
[00:00:28 - 00:00:29] 对吧
[00:00:29 - 00:00:32] 然后如果你想无限次ai解体
[00:00:32 - 00:00:34] 真人老师优先帮助
[00:00:34 - 00:00:36] 那付费的价格如何上呢
[00:00:36 - 00:00:38] 月度是十一月
[00:00:38 - 00:00:40] 月度是十二美元
[00:00:40 - 00:00:42] 年度是一百美元
[00:00:42 - 00:00:43] 这是他的定价机制
[00:00:43 - 00:00:47] 然后他的这个免费多少次怎么来去算账
[00:00:47 - 00:00:48] 其实他要去算
[00:00:48 - 00:00:50] 每天我要去做这些免费
[00:00:50 - 00:00:53] 他所耗的这个token量对于用户增长
[00:00:53 - 00:00:56] 一个用户他的价值
[00:00:56 - 00:00:57] 他的扩展价值是多少
[00:00:57 - 00:01:00] 再算RF和RTB出生
