[01:50:00 - 01:50:04] 现在都有机会用AI重新写一遍
[01:50:05 - 01:50:07] 不知道什么不知道稍微给你讲一讲
[01:50:07 - 01:50:09] 什么叫AI的心理健康仓
[01:50:09 - 01:50:12] 就是李祥老师你说的这五个字
[01:50:12 - 01:50:16] 如果你把你们家的这个这个这个车载系统改一下的话
[01:50:16 - 01:50:17] 我估计机会非常的大
[01:50:17 - 01:50:22] 现在的心理健康仓的状态其实是非常一般的
[01:50:22 - 01:50:23] 非常一般
[01:50:23 - 01:50:26] 如果有同学想做心理和交友的跨界
[01:50:26 - 01:50:27] 其实在这上面是有机会的
[01:50:28 - 01:50:29] 为什么是有机会的
[01:50:29 - 01:50:31] 目前的心理健康仓是什么
[01:50:31 - 01:50:34] 你可以认为就有一点像个什么东西
[01:50:35 - 01:50:36] 你们知道就是前几年
[01:50:37 - 01:50:38] 前好多年
[01:50:39 - 01:50:40] 还在疫情前的
[01:50:41 - 01:50:43] 就那个就是在哥哥shopping mall
[01:50:43 - 01:50:44] 有一个小屋子
[01:50:45 - 01:50:47] 俩人能进去唱k的那种屋子
[01:50:48 - 01:50:48] 特别像那个
[01:50:49 - 01:50:50] 然后进去之后
[01:50:51 - 01:50:52] 有一张屏幕
[01:50:53 - 01:50:55] 这个屏幕上你可以戳戳戳有一些题目
[01:50:55 - 01:50:58] 突然之后给唱你有一些反馈
