[00:56:00 - 00:56:04] 用户每一次答对还是答错
[00:56:04 - 00:56:12] 然后去做动态的题目的变化了
[00:56:12 - 00:56:16] 去做动态题目的变化了
[00:56:16 - 00:56:18] 个性化的错地本是这样子
[00:56:18 - 00:56:21] 什么叫个性化的这个本啊
[00:56:21 - 00:56:24] 你想一个东西就是
[00:56:24 - 00:56:26] 拍你一个错题是为什么
[00:56:26 - 00:56:28] 不是为了告诉你这东西错了
[00:56:28 - 00:56:31] 核心点是要再继续给你出题对不对
[00:56:31 - 00:56:33] 再继续给你出题
[00:56:33 - 00:56:36] 然后如果说我发现拿到的信息
[00:56:36 - 00:56:40] 某一个孩子他又错了
[00:56:40 - 00:56:41] 他这个又错其实分开两种情况
[00:56:41 - 00:56:43] 一个是原题又错了
[00:56:43 - 00:56:46] 第二又有粗心大意的情况对吧
[00:56:46 - 00:56:48] 又有粗心大意的情况对吧
[00:56:48 - 00:56:51] 然后还有比如说他又有
[00:56:51 - 00:56:53] 对于某一个知识点
[00:56:53 - 00:56:57] 比如说对于加法交换率又错在这个点上了
[00:56:57 - 00:57:00] 那是不是我需要在他的出题的情况下
