[00:23:00 - 00:23:04] 对吧 你都不用竞争对手
[00:23:04 - 00:23:06] 这件事倒不了有竞争
[00:23:06 - 00:23:08] 官官你太高估我了
[00:23:08 - 00:23:09] 照这样做的话
[00:23:09 - 00:23:11] 倒不了有竞争对手
[00:23:11 - 00:23:13] 我已经饿死了
[00:23:13 - 00:23:16] 倒不了这么久
[00:23:16 - 00:23:18] 倒不了这么久
[00:23:18 - 00:23:19] 对不对
[00:23:19 - 00:23:20] 懂了吧
[00:23:20 - 00:23:23] 所以这种是很可怕的一件事
[00:23:23 - 00:23:25] 所以这个是在大模型时代
[00:23:25 - 00:23:27] 任何的产品不能这么烧的
[00:23:27 - 00:23:29] 一个至关重要的原因
[00:23:29 - 00:23:31] 就是你只能是限定次数
[00:23:31 - 00:23:33] 限定时长
[00:23:33 - 00:23:35] 限定一些使用的逻辑
[00:23:35 - 00:23:37] 把它做免费
[00:23:37 - 00:23:39] 这块的免费你还要去算一笔账
[00:23:39 - 00:23:40] 同学们
[00:23:40 - 00:23:43] 这块的免费要去做什么账
[00:23:43 - 00:23:45] 这块的免费要去做什么账
[00:23:45 - 00:23:48] 多展开说一点
[00:23:48 - 00:23:51] 好好奇他这个怎么演算的
[00:23:51 - 00:23:52] 我怕我告诉你
[00:23:52 - 00:23:53] 我的演算方式之后的话
[00:23:53 - 00:23:57] 你们会觉得卖贵了
[00:23:57 - 00:24:00] 等我这个产品推出
