[00:00:00 - 00:00:02] RFID那是
[00:00:02 - 00:00:04] 然后另外一些产品的思路
[00:00:04 - 00:00:05] 拍图做饭
[00:00:05 - 00:00:06] 这可能的机会
[00:00:06 - 00:00:07] 打开冰箱
[00:00:07 - 00:00:09] 拍一张剩余食材的图片
[00:00:09 - 00:00:11] 我认为这是一个很好的创意
[00:00:11 - 00:00:12] 打开冰箱
[00:00:12 - 00:00:13] 看一下剩余什么样的食材
[00:00:13 - 00:00:14] 拍一张
[00:00:14 - 00:00:17] 然后自动的帮你识别食材
[00:00:17 - 00:00:20] 然后设计书符合用户口味要求的详细的菜谱
[00:00:20 - 00:00:22] 我觉得这是有功能的
[00:00:22 - 00:00:26] 怎么识别5块钱的餐馅和15块钱的餐馅
[00:00:26 - 00:00:29] 识别的不准
[00:00:29 - 00:00:31] 识别的不准
[00:00:31 - 00:00:32] 不准
[00:00:32 - 00:00:33] 对吧
[00:00:33 - 00:00:34] 然后无障碍辅助
[00:00:34 - 00:00:36] 比如说一个势力障碍人士
[00:00:36 - 00:00:38] 通过手机摄像头赶着周围
[00:00:38 - 00:00:41] 例如实时的用语来去做描述
[00:00:41 - 00:00:44] 你面前有山半开的门前方5米
[00:00:44 - 00:00:45] 说有一把椅子
[00:00:45 - 00:00:49] 而这个功能事实上是在我的这个夸克眼镜上
[00:00:49 - 00:00:51] 在我的夸克眼镜上已经做到这个
[00:00:51 - 00:00:54] 已经做到这个了
[00:00:54 - 00:00:54] 好
[00:00:54 - 00:00:57] 帮助阅读要凭上的标签和计量
[00:00:57 - 00:00:59] 如果是对于这种市账人群的话
[00:00:59 - 00:01:00] 我觉得是非常
