[01:48:00 - 01:48:01] 都是能到100亿的
[01:48:01 - 01:48:04] 是到100个billion
[01:48:04 - 01:48:06] 1000亿美元的这个量级
[01:48:06 - 01:48:08] 这个完全是不同的一个效果
[01:48:08 - 01:48:08] 然后呢
[01:48:08 - 01:48:09] 我们在这里面的话
[01:48:09 - 01:48:11] 可以框立一个这样的图
[01:48:11 - 01:48:13] 就是业务环节
[01:48:13 - 01:48:14] 业务环节图
[01:48:14 - 01:48:15] 也就是说
[01:48:15 - 01:48:16] 任何一个产业
[01:48:16 - 01:48:18] 你如果从上下游的角度上去分析
[01:48:18 - 01:48:19] 它都包含了
[01:48:19 - 01:48:21] 就是你有什么产品
[01:48:21 - 01:48:22] 你希望卖给谁
[01:48:22 - 01:48:24] 你怎么找到它
[01:48:24 - 01:48:25] 你怎么说服它购买
[01:48:25 - 01:48:27] 产品的利润怎么样
[01:48:27 - 01:48:29] 就是这几个核心的环节
[01:48:29 - 01:48:31] 这几个核心的环节
[01:48:31 - 01:48:32] 你有什么产品
[01:48:32 - 01:48:33] 是你的产品的设计部分
[01:48:33 - 01:48:35] 卖给谁是你的定位问题
[01:48:35 - 01:48:37] 怎么找到它是市场问题
[01:48:37 - 01:48:40] 怎么说服它购买是营销和销售流程
[01:48:40 - 01:48:42] 产品利润是有定价和成不得两个环节
[01:48:42 - 01:48:44] 基本上是这么一个体系
[01:48:44 - 01:48:45] 对吧
[01:48:45 - 01:48:47] 然后教育行业分为两个层面
[01:48:47 - 01:48:49] 业务层面和产品层面
[01:48:49 - 01:48:50] 对吧
[01:48:50 - 01:48:52] 然后我们先说产品层面
[01:48:52 - 01:48:54] 先说一下AI的产品升级
[01:48:54 - 01:48:55] 在这上面的话
[01:48:55 - 01:48:56] 给大家签去框定一点
[01:48:56 - 01:48:57] 如果想做这行的话
[01:48:57 - 01:48:59] 基本上AI不能教育
