[00:00:00 - 00:00:05] 当两点之间的距离越来越小时,割线就越来越接近切线
[00:00:05 - 00:00:07] 这个过程的极限就是倒数
[00:00:07 - 00:00:13] 积分学研究函数的累积量,最直观的理解就是即算趋限下方的面积
[00:00:13 - 00:00:16] 我们可以用离万和的方法来低减这个面积
[00:00:16 - 00:00:18] 将趋于分割成许多小举行
[00:00:18 - 00:00:21] 好,不过您看,晚上你们也快睡觉
[00:00:21 - 00:00:25] 然后,出完视频,能够有测试
[00:00:25 - 00:00:27] 我问你们一个问题
[00:00:27 - 00:00:35] 这个产品,这个产品特别适合给谁用
[00:00:39 - 00:00:41] 这产品特别适合给谁用
[00:00:45 - 00:00:47] 特别适合给老师用
[00:00:47 - 00:00:49] 极其适合给老师用
[00:00:49 - 00:00:53] 学生,说句实在话,用这个的可能性没那么大
[00:00:53 - 00:00:56] 但是老师要看出这个产品,太喜欢了
[00:00:56 - 00:00:59] 这里面有各种各样的案例
