[02:07:00 - 02:07:03] 我们还是比较的经济的 不敢全程opross
[02:07:03 - 02:07:04] 这个没有这么设施
[02:07:05 - 02:07:08] 然后呢 它的最后用这两件事带来一个什么样的成果呢
[02:07:08 - 02:07:10] 它带来一个什么样的成果呢
[02:07:10 - 02:07:15] 就是它用AI生成了148门新语言课程
[02:07:15 - 02:07:16] 这个就是它的成果
[02:07:17 - 02:07:20] 它从2025年的4月非常短的时间内
[02:07:20 - 02:07:24] 是用AI生成了148门新语言的课程
[02:07:25 - 02:07:28] 是过去12年人工开发总数的1.5倍
[02:07:28 - 02:07:30] 这个是它的巨大的一个成果
[02:07:31 - 02:07:32] 只让你还OK
[02:07:32 - 02:07:33] 然后之前有些动作
[02:07:34 - 02:07:38] 23年它基于GP4做了一个叫做DoLingorMinds的订阅
[02:07:38 - 02:07:40] 然后主要的功能AI的打移
[02:07:40 - 02:07:42] AI的口语练习
[02:07:42 - 02:07:43] 然后就像这个
[02:07:43 - 02:07:47] 就是这个去做AI的口语练习的方式
[02:07:49 - 02:07:50] 有很多小语种
[02:07:51 - 02:07:52] 有很多的小语
[02:07:54 - 02:07:57] opross4.7当主力说实在话
[02:07:57 - 02:08:00] 得做出多大的业务才能把这个钱
