[02:49:00 - 02:49:03] 你可真行啊
[02:49:03 - 02:49:05] 我说你可真行啊
[02:49:05 - 02:49:07] 我说我说
[02:49:07 - 02:49:08] 我说你是
[02:49:10 - 02:49:11] 我说你可真行啊
[02:49:16 - 02:49:18] 同学们同学们真的
[02:49:18 - 02:49:20] 我觉得你们最需要的是什么
[02:49:23 - 02:49:26] 对就是那个就是那个姑娘大江
[02:49:26 - 02:49:26] 他也去面了
[02:49:26 - 02:49:28] 大家说你这都挺好的
[02:49:28 - 02:49:30] 但没有做AI的实际经验
[02:49:32 - 02:49:34] 真的很棒了
[02:49:34 - 02:49:34] 真的很棒了
[02:49:36 - 02:49:37] 所以同学们
[02:49:37 - 02:49:39] 你们最需要的是什么
[02:49:39 - 02:49:41] 第一个叫做坚定信心
[02:49:41 - 02:49:43] 第二个去动手
[02:49:43 - 02:49:45] 第三个去走出去
[02:49:46 - 02:49:47] 你们又说说这话
[02:49:47 - 02:49:49] 肯定本身也很优秀
[02:49:49 - 02:49:50] 对吧
[02:49:50 - 02:49:52] 就是肯定他怎么着
[02:49:52 - 02:49:53] 肯定他怎么着
[02:49:53 - 02:49:55] 肯定我跟他一定有差别
[02:49:55 - 02:49:56] 所以我不行
[02:49:56 - 02:50:00] 你说这句话是对你特别好
