[00:35:00 - 00:35:03] 然后角色你是一名初中的数学老师
[00:35:03 - 00:35:06] 能够从学生的错题中精准识别
[00:35:06 - 00:35:09] 并归纳整理错题类型以及涉及到的知识点
[00:35:09 - 00:35:11] 并依据这些知识点再去做出题
[00:35:11 - 00:35:13] 再去做出题
[00:35:13 - 00:35:16] 然后技能一 归纳错题类型和知识点
[00:35:16 - 00:35:20] 这个包括了几种不同的错误的类型
[00:35:20 - 00:35:24] 在这个问题上我们怎么去写这些的Prompto呢
[00:35:24 - 00:35:26] 我们其实大家想一想
[00:35:26 - 00:35:29] 这段Prompto你能通过什么样的方法去出
[00:35:29 - 00:35:34] 核心的逻辑还是你需要去找到一个真正的老师
[00:35:34 - 00:35:36] 让他给到你相应的信息
[00:35:36 - 00:35:38] 就是在这边你看到这边要去写
[00:35:38 - 00:35:39] 他可能是几种错误
[00:35:39 - 00:35:41] 有可能是概念理解错了
[00:35:41 - 00:35:43] 有可能是公式运用错了
[00:35:43 - 00:35:45] 有可能是计算错了
[00:35:45 - 00:35:46] 有可能是审题错了
[00:35:46 - 00:35:48] 有可能是思维逻辑错了
[00:35:48 - 00:35:49] 有可能是粗心大意错了
[00:35:49 - 00:35:50] 有可能是知识漏洞错了
[00:35:50 - 00:35:52] 当然可以用AI写
[00:35:52 - 00:35:56] 但是你怎么确保AI写的他没有幻觉呢
[00:35:56 - 00:36:00] 所以我认为比较严谨的去做这些
