[00:46:00 - 00:46:00] 那就ok了
[00:46:03 - 00:46:05] 不懂没有关系
[00:46:05 - 00:46:06] 不懂没有关系
[00:46:06 - 00:46:06] 这不是你
[00:46:06 - 00:46:08] 这不是你的工作
[00:46:08 - 00:46:09] 这不是你的工作
[00:46:09 - 00:46:11] 这是这是技术的活
[00:46:11 - 00:46:14] 我只不过在这里面怎么说呢
[00:46:15 - 00:46:17] 我怎么说呢
[00:46:17 - 00:46:20] 我在这里面加了这个多维表格
[00:46:20 - 00:46:23] 对于有一点点技术基础和技术sense的同学
[00:46:23 - 00:46:24] 把这放上去
[00:46:24 - 00:46:26] 技术如果问你说
[00:46:26 - 00:46:26] 哎
[00:46:26 - 00:46:27] 这为什么那么多维表格
[00:46:27 - 00:46:29] 你把我刚才说的这个话
[00:46:29 - 00:46:30] 跟他们去说出来
[00:46:30 - 00:46:32] 他会对你极其的心生敬意的
[00:46:32 - 00:46:33] 就这么简单的一件事
[00:46:37 - 00:46:40] 他会觉得你不好惹
[00:46:40 - 00:46:41] 不能忽悠你
[00:46:43 - 00:46:44] 明白了吧
[00:46:44 - 00:46:45] 也就是这么点价值
[00:46:45 - 00:46:46] 其他都没啥价值
[00:46:46 - 00:46:47] 第二个问题
[00:46:47 - 00:46:48] 为什么在这门
[00:46:48 - 00:46:50] 我们就要去写信用T14
[00:46:51 - 00:46:52] 刚才说不是
[00:46:52 - 00:46:54] 你抠子工作榴在哪能存
[00:46:54 - 00:46:55] MD
[00:46:56 - 00:46:58] 抠子它是一个杀箱
[00:46:58 - 00:47:00] 它是个杀箱
