[00:00:00 - 00:00:02] 不凑齐这个小班是难的
[00:00:02 - 00:00:05] 但是凑齐大班是很容易的
[00:00:06 - 00:00:11] 凑齐小班容易 凑齐大班很容易
[00:00:11 - 00:00:12] 凑齐小班很难
[00:00:12 - 00:00:14] 不 凑齐大班很容易
[00:00:14 - 00:00:16] 凑齐小班不容易
[00:00:16 - 00:00:18] 大家是否理解这件事
[00:00:18 - 00:00:19] 咱们是大班
[00:00:19 - 00:00:21] 为什么大班容易
[00:00:21 - 00:00:23] 大班谁跟你凑啊
[00:00:23 - 00:00:25] 大班就是周一周四上课
[00:00:25 - 00:00:27] 来就来不来就算
[00:00:27 - 00:00:29] 小班课
[00:00:29 - 00:00:31] 小班课是这样子的
[00:00:31 - 00:00:36] 小班课是消耗学识的
[00:00:36 - 00:00:38] 同学们 你们是对
[00:00:38 - 00:00:39] 得给你们稍微讲一讲
[00:00:39 - 00:00:40] 给你们稍微讲一讲
[00:00:40 - 00:00:42] 咱们这个课
[00:00:42 - 00:00:43] 咱们这个课是什么
[00:00:43 - 00:00:46] 咱们这个课是大班课
[00:00:46 - 00:00:47] 你甭管多少人
[00:00:47 - 00:00:48] 他也是大班课
[00:00:48 - 00:00:49] 什么叫做大班课
[00:00:49 - 00:00:50] 不是高度定制化
[00:00:50 - 00:00:52] 我给你讲一个逻辑
[00:00:52 - 00:00:53] 什么是大班课
[00:00:53 - 00:00:56] 就是我周一周四上
[00:00:56 - 00:00:57] 你们有空来听
[00:00:57 - 00:00:59] 没空没有办法听路播
