[00:00:00 - 00:00:03] 總共中央領導層是怎麼去做的總統性決策
[00:00:03 - 00:00:08] 我跟著秦也皇學當時他如何去統一平定六國
[00:00:08 - 00:00:12] 他當時殺澇矮的時候是一種什麼樣的心情
[00:00:12 - 00:00:14] 他當時在去和這個這個
[00:00:14 - 00:00:17] 他當時被經科次的時候繞住的時候
[00:00:17 - 00:00:19] 是一種什麼樣的心理感受
[00:00:19 - 00:00:20] 問大家一個問題啊
[00:00:21 - 00:00:23] 問大家一個問題啊
[00:00:23 - 00:00:26] 你有啥歷史還學不了了
[00:00:26 - 00:00:29] 對不對
[00:00:29 - 00:00:34] 我想和朱個亮聊聊
[00:00:34 - 00:00:38] 我既想跟丞相說這樣一嘴啊
[00:00:38 - 00:00:40] 說這麼一嘴啊
[00:00:40 - 00:00:44] 現在在過去已經非常勁了
[00:00:44 - 00:00:46] 同時我也想問你一句
[00:00:46 - 00:00:48] 就是當時蔚言提到你七星燈
[00:00:48 - 00:00:50] 你真的不恨嗎
[00:00:50 - 00:00:52] 對吧
[00:00:52 - 00:00:55] 對吧
[00:00:56 - 00:00:57] 這個做成中國吧
[00:00:57 - 00:00:59] 我覺得
