[00:00:00 - 00:00:06] 它是可以根据你的要求快速生成视频和相应的题目测试
[00:00:06 - 00:00:07] 比如说我想学学危机分
[00:00:07 - 00:00:09] 我想学学危机分
[00:00:09 - 00:00:12] 我就给它输入一个我想学危机分入门
[00:00:12 - 00:00:14] 它就可以生成一段这个的视频
[00:00:14 - 00:00:17] 而且后面还可以有对话还可以有测试
[00:00:17 - 00:00:20] 给大家看过生成的这一段小视频
[00:00:20 - 00:00:21] 看一段声音
[00:00:22 - 00:00:24] 危机分是数学中最重要的分支之一
[00:00:24 - 00:00:26] 它研究电缓和粤粒的微率
[00:00:26 - 00:00:28] 危机分包含两大核心面由
[00:00:28 - 00:00:30] 微分学和机分学
[00:00:30 - 00:00:33] 微分学主要研究函数在某一点的顺势电花率
[00:00:33 - 00:00:35] 也就是切线的斜率
[00:00:35 - 00:00:39] 机分学则研究函数在某个区间内的累积量
[00:00:39 - 00:00:41] 比如曲线下的面积
[00:00:41 - 00:00:43] 这两个概念看似相反
[00:00:43 - 00:00:45] 但实际上通过危机分基本定理
[00:00:45 - 00:00:47] 请你联系在一起
[00:00:47 - 00:00:49] 微分学的核心概念是导数
[00:00:49 - 00:00:52] 表示函数在某一点的顺势电花率
[00:00:52 - 00:00:53] 从几何角度看
[00:00:53 - 00:00:56] 导数就是曲线在该点的切线斜率
[00:00:56 - 00:00:58] 我们可以通过割线逼近切线
[00:00:58 - 00:00:59] 来理解
