[01:56:00 - 01:56:01] 对于哪个支点有问题
[01:56:01 - 01:56:04] 我可能会让我能看到
[01:56:04 - 01:56:05] 我在后续的话
[01:56:05 - 01:56:07] 看我怎么能够去帮到你们
[01:56:07 - 01:56:09] 所以这块能做出来很多的一些功能
[01:56:09 - 01:56:10] 然后教育的过程
[01:56:10 - 01:56:11] 包括评估
[01:56:11 - 01:56:13] 学习的评估和心理评估
[01:56:13 - 01:56:14] 我觉得两方面都需要
[01:56:14 - 01:56:16] 尤其对于青春期的孩子
[01:56:16 - 01:56:18] 我觉得真的太宝贵了
[01:56:18 - 01:56:19] 然后管理的部分
[01:56:19 - 01:56:20] 包括排课
[01:56:20 - 01:56:21] 包括图书馆
[01:56:21 - 01:56:22] 包括智能课服
[01:56:22 - 01:56:25] 我觉得这些都是在校方管理中的
[01:56:25 - 01:56:27] 这种校旗联动的东西可以去做的
[01:56:27 - 01:56:29] 然后科研的高校科研平台和知识库
[01:56:29 - 01:56:31] 我觉得都需要
[01:56:31 - 01:56:32] 你们知道为什么
[01:56:32 - 01:56:35] 我对于就是学生的心理支持
[01:56:35 - 01:56:38] 我特别希望
[01:56:38 - 01:56:40] 我特别希望你们能够有人好好做的吗
[01:56:44 - 01:56:47] 因为我在初中的时候
[01:56:47 - 01:56:49] 我在高中的时候
[01:56:49 - 01:56:51] 我是那个被霸凌的
[01:56:51 - 01:56:54] 所以我特别希望有这么一天
[01:56:54 - 01:56:57] 有人能够去拯救当时的我
