[00:00:00 - 00:00:02] 还是我非常值得去看的
[00:00:02 - 00:00:04] 非常值得去看的
[00:00:04 - 00:00:04] 对吧
[00:00:04 - 00:00:07] 他是在双点前就死掉了的
[00:00:07 - 00:00:08] 所以这就非常有意思
[00:00:08 - 00:00:10] 所以为什么学霸军会倒在黑暗前
[00:00:11 - 00:00:14] K12就是从幼儿园到高中
[00:00:15 - 00:00:17] 从幼儿园到高中
[00:00:18 - 00:00:19] 对吧
[00:00:19 - 00:00:20] 这个就非常有趣了
[00:00:20 - 00:00:22] 他就在那个时候就已经死掉了
[00:00:22 - 00:00:24] 与之对比
[00:00:24 - 00:00:25] 学霸1对1
[00:00:26 - 00:00:28] 2018年就停止运营了
[00:00:28 - 00:00:31] 1对1的头部公司掌门1对1
[00:00:31 - 00:00:34] 推出了大半客小半客起王教育客
[00:00:34 - 00:00:38] 原福岛2019年关庭1对1压住大半客
[00:00:38 - 00:00:41] VIPK的想去做大迷网销做大客品牌
[00:00:41 - 00:00:43] VIPK现在还活着
[00:00:43 - 00:00:45] 我跟森丽还挺熟
[00:00:45 - 00:00:46] 他现在1对1还在坚持
[00:00:46 - 00:00:49] 但是跟我说做的很难
[00:00:49 - 00:00:52] 为什么RIT道股才有可能挣钱
[00:00:52 - 00:00:54] 50底线
[00:00:54 - 00:00:56] 然后原福岛作业帮学而思
[00:00:56 - 00:00:58] 跟神学这几个头部公司
[00:00:58 - 00:00:59] 全都是在做大玩特
