[00:00:00 - 00:00:02] 大模型直到现在其实对于多摩泰和他的文字比起来
[00:00:02 - 00:00:04] 其实依然是差了很多
[00:00:04 - 00:00:09] 但是至少至少能够相对比较廉价的能有这类功能
[00:00:09 - 00:00:09] 对吧
[00:00:09 - 00:00:11] 这个带来了有一些新的机会
[00:00:11 - 00:00:12] 给大家看几种新的机会
[00:00:12 - 00:00:13] 第一个
[00:00:14 - 00:00:16] 这也是一个教育类的产品
[00:00:16 - 00:00:18] 2025年iPo的设的
[00:00:18 - 00:00:22] 这个在iPo Store的设计大奖的产品叫Kabroars
[00:00:22 - 00:00:24] 他是用一个非常小的单点
[00:00:24 - 00:00:25] 用AI的能力做出来一个
[00:00:25 - 00:00:28] 我认为就是新奇特的这个体验
[00:00:28 - 00:00:31] 通过这种优质体验拿到了一个非常好的奖
[00:00:31 - 00:00:32] 他的功能是什么呢
[00:00:32 - 00:00:36] 这个我建议咱们去下一下去玩一玩
[00:00:36 - 00:00:38] 我觉得他的体验非常有意思
[00:00:38 - 00:00:40] 他的功能流程是这样子的
[00:00:40 - 00:00:42] 他的主见面也是一个拍照
[00:00:42 - 00:00:44] 也是一个拍照
[00:00:44 - 00:00:45] 然后今天还没结束
[00:00:45 - 00:00:48] 来记录下第一个单词吧
[00:00:48 - 00:00:50] 我随手拍了一个东西
[00:00:50 - 00:00:51] 拍了一个这个东西
[00:00:51 - 00:00:56] 这是我的一个这个泡马特家的一个小的忙盒
[00:00:56 - 00:00:57] 拍完它之后
[00:00:57 - 00:00:59] 拍报告这个东西叫做Rabidor
