[00:07:00 - 00:07:02] 你不盈利根本是没办法去上市的
[00:07:02 - 00:07:05] 你没有办法上市就没有办法有资本推出的通路
[00:07:05 - 00:07:07] 而现在不是说没有人投资
[00:07:07 - 00:07:09] 现在大家如果是能够去做一个
[00:07:09 - 00:07:11] 我就这么给你们讲
[00:07:11 - 00:07:13] 现在只要大家能做一个挣钱的
[00:07:13 - 00:07:15] Agent的生意
[00:07:15 - 00:07:17] 只要你是真正挣钱的
[00:07:17 - 00:07:23] 我分分钟帮你对到非常优质的投资资源过来
[00:07:23 - 00:07:25] 你给不给我FA钱都可以
[00:07:25 - 00:07:27] 我就算帮你忙都可以
[00:07:27 - 00:07:28] 现在的投资机构对于
[00:07:29 - 00:07:32] 对于此刻的这样的一个Agent
[00:07:32 - 00:07:35] 或者销售做大模型应用类的产品的一个特点是什么
[00:07:35 - 00:07:38] 就是说我根本不在乎你所谓的故事
[00:07:38 - 00:07:40] 我就看你的财务模型
[00:07:40 - 00:07:41] 财务报表你的优异
[00:07:41 - 00:07:42] 对吧
[00:07:42 - 00:07:43] 那你挣钱了
[00:07:43 - 00:07:43] ok
[00:07:43 - 00:07:44] 你现在需要更多钱去投
[00:07:44 - 00:07:45] 去烧
[00:07:45 - 00:07:47] 你把模型能够验证了
[00:07:47 - 00:07:47] 那我就投你
[00:07:47 - 00:07:50] 然后我根本就不考虑你能不能上市
[00:07:50 - 00:07:51] 你上不了市吗
[00:07:51 - 00:07:52] 那好那怎么办
[00:07:52 - 00:07:53] 我给你先分红
[00:07:54 - 00:07:55] 先分红
[00:07:55 - 00:07:58] 所以这就是为什么现在所有的大模型厂
[00:07:58 - 00:08:00] 就是所有的大模型应用厂
