[01:53:00 - 01:53:03] 都做了相应的干预 但这个孩子还是这么选择了
[01:53:03 - 01:53:05] 我们也已经尽力了
[01:53:12 - 01:53:14] 心理健康操场上也不赔钱
[01:53:14 - 01:53:17] 我所有的东西都符合国家标准
[01:53:20 - 01:53:21] 也都符合标准
[01:53:24 - 01:53:25] 明白了吗
[01:53:27 - 01:53:29] 同学们明白了吗
[01:53:29 - 01:53:34] 而且哪个孩子会去那个仓啊
[01:53:36 - 01:53:40] 去那个仓的孩子能是长得特别漂亮
[01:53:40 - 01:53:43] 很popular还是分数特别好
[01:53:43 - 01:53:50] 被老师的宠儿还是富二代天天请同学们吃这
[01:53:50 - 01:53:52] 吃那很popular的孩子吗
[01:53:52 - 01:53:53] 不会啊
[01:53:53 - 01:53:54] 一定大概的学习不好
[01:53:54 - 01:53:56] 家庆一般被霸凌的
[01:53:56 - 01:53:57] 你再去那个好了
[01:53:57 - 01:53:59] 不去都批评
