[00:00:00 - 00:00:03] 今天講的特別多的關於這種情懷
[00:00:03 - 00:00:06] 關於這種理念上的事
[00:00:06 - 00:00:08] 我也特別希望一件事情是什麼
[00:00:08 - 00:00:10] 我特別希望同學們
[00:00:10 - 00:00:12] 在你們力所能及的情況下
[00:00:12 - 00:00:13] 力所不能及
[00:00:13 - 00:00:16] AI電商和AI教育我覺得都挺好
[00:00:16 - 00:00:17] 我實話實說講我覺得這都挺好
[00:00:17 - 00:00:20] 我能跟你講的行業我認為都不錯
[00:00:20 - 00:00:21] 說實話
[00:00:21 - 00:00:22] 我認真的給你們去講一個話
[00:00:22 - 00:00:23] 叫做什麼
[00:00:23 - 00:00:25] 就是我特別希望大家叫做
[00:00:25 - 00:00:31] 如果說你要去為了一口溫飽來去
[00:00:31 - 00:00:32] 來去工作的時候
[00:00:32 - 00:00:35] 那就不要去考慮這個工作的偉大意義
[00:00:35 - 00:00:36] 牽去掙錢
[00:00:36 - 00:00:38] 沒有問題
[00:00:38 - 00:00:42] 但是如果有一天你已經比較穩妥了
[00:00:42 - 00:00:44] 你已經能夠吃飽了
[00:00:44 - 00:00:45] 我會講營銷的部分
[00:00:45 - 00:00:48] 我會拆解筷子科技
[00:00:48 - 00:00:52] 到有一天你已經能夠有一些力所能及的情況下了
[00:00:53 - 00:00:54] 我認真的講
[00:00:54 - 00:00:57] 我希望在同樣的事情上
[00:00:57 - 00:00:59] 能夠選擇去做好事
